"pros","cons","advice","rating","organization"
"1. Good amount of exposure in terms of learning2. Its a great to work here in the beginning of your career","1. Lack of co-ordination among senior management2. Pay package is very low as compared to other Consultancies3. People don't stick around for a long time due to delay in payment of salary/ low pay package",,"3.0","Vertebrand Management Consulting"
"Good culture, amount of responsibility given to junior consultants","Poor management, limited resources, compensation below peers",,"2.0","Value Partners"
"Great place to work - would recommend a friend","In consulting you should expect to work long hours",,"5.0","Value Partners"
"Entrepreneurial work approach,good exposure to the firm top management, international staffing, great working culture based on collaboration and team work, acceptable work-life balance","The company's brand is not known in every country due to our scale, the size of the firm does not allow constant re-shuffle in team structure",,"5.0","Value Partners"
"The company has a long history and brand equity used to be good. Now fading though.","No clear future, investment strategy, no clear areas of thought leadership",,"2.0","Value Partners"
"Familiar enviornment, nice and available colleagues","kinda small the organization and",,"4.0","Value Partners"
"Great learning experiences, international experiences","Work/life balance is terrible and impossible to deal with in the medium term",,"3.0","Value Partners"
"Learn fast, good salary and benefits.","Almost no training, too much work, working over 12h per day is very normal. Working on weekends is also quite common.","Reduce working hours, people don't produce more if they stay more hours at the office... these extra hours are not productive. Don't incentive that!","2.0","Value Partners"
"Top Asian asset management firm","Too Asia focused rather than international","NA","3.0","Value Partners"
"Entrepreneurial, warm firm culture, flat hierarchy, growth opportunity, strategic consulting, strong in mature and emerging markets such as Brazil, Argentina, China, ...","Some of typical cons of strategic consulting: tough work-life balance due to heavy workloa, frequent travel, intense focus on client",,"5.0","Value Partners"
"Good culture, opportunity to travel","Long hours, challenging projects",,"5.0","Value Partners"
"learn the basics as an analyst","very stressful, 9am-2am life, even for public holiday","less conflict within the team","3.0","Value Partners"
"Good salary, great colleagues, very interesting projects, great clients, big exposure to senior management of clients, possibility to work abroad.","Company has little guidance from senior management, so ups and downs are constant. Capacity to ""shut up and dance"" quite often counts more than capacity to deliver. Little or no incentives for internal entrepreneurship. Very high senior management to BA/associates ratio.","Should be more focused on people, after all this is a services company. Company's culture should be immediately reviewed, incentives are highly misplaced. Alumni usually don't hire VP for their consulting needs when they're in the industry, and that tells a lot about the company.","3.0","Value Partners"
"Good international staffing possibilities if shown potential; certain good senior managers from global level with high quality of project delivery","Typical small/simple organisational issue of management; heavy workload for most of the time","Improve leadership and mentorship","3.0","Value Partners"
"Learning opportunities, Fast career progression for top performers, sallary","Work balance (14 hours/day is normal); excess of re-work or non value-added analysis; most partners are bosses, not leaders.",,"2.0","Value Partners"
"Colleagues are great and work is challenging","Low salary and small company",,"4.0","Value Partners"
"Diversify your knowledge and experience portfolioget in touch with very different business needs and opportunities","demanding environment, as many other consulting companies, with long hoursdo not consider if not interested in telecom industry",,"3.0","Value Partners"
"People treat you very well. We had access to all levels of the organization. We were like a big family.","As any consulting firm, a lot of work. Sometimes, they hold your promotion or assign you in a project that is not the best option for your personal development.","Try to create with the employees a clear career plan strategy.","4.0","Value Partners"
"smart people, very nice and friedly atmosphere, lots of collaborative people, very strategic projects","one man show, not a real partnershipfew really global practices (telecom only)","become a real partnership, please.....more local people managing ""non italian"" offices","5.0","Value Partners"
"High responsibilities, high personal growth","The concept of ""office hours"" is sometimes blurred",,"4.0","Value Partners"
"Lots of travel.Challenging work.Work side by side with lots of intelligent people.Quick promotions if you are good.Ok Salary","Some partners are really aggressive with junior staff.Very hard to reach partner if you are not italian.Struggling to get new clients, downsizing.",,"3.0","Value Partners"
"-More responsibility from day 1 compared to other consultancy firms-Early C level exposure-Working with talented people with high intellectual capability-Fun people (regardless of their work habits)-Fast track opportunity (especially if you manage your relationships well)-Focusing on TMT but has opportunities in finance, industrial goods, sports etc.-Competitive compensation (usually with 5-10% premium compared to top strategy houses)","-Very poor work/life balance (compared to other consulting firms as well)-Small offices do not have any structure in place (no centralized evaluation, everything depends on personal relations, no transparency in most of the internal decisions)-Lack of supporting functions like research and report (document prep support) resulting in more workload on consultants, one of the triggers of work/life balance-Face time culture-No flexibility in working hours/place when on the beach-Lack of ethics in business and personnel management-Hard for non-Italians to proceed-No mechanism to support women in workplace - men dominant culture-Limited training options (especially outside of Milan)","Put supporting functions in place again, try to value employees more since they are the only assets you have and waste. The strategy of cutting costs to show the company more profitable destroys the company value in the long run.","3.0","Value Partners"
"Opportunities to work on classic management consultancy projects (i.e. supply channel, growth strategy....), truly international firm (most associate/BAs get an opportunity to work on several projects outside their base location)","Poor work life balance. Unclear strategy and limited senior management attention outside core markets. Still very much an Italian management consultancy despite its international expansion","Develop a coherent approach/ strategy to markets outside of Italy. Ensure that these markets are given the right support in terms of senior staff to enable them to grow. Also there is a need to shed the strong Italy centric image of the firm","3.0","Value Partners"
"Good learning and training opportunities","Long hours and frequent travel",,"5.0","Value Partners"
"Career advancement opportunities not dependent on the age, fast-paced work environment, competitive salary, possibility to focus on the industry of interest.","Low international exposure only partially compensated by presence on developing countries, low bonuses and insufficient vacations, sometimes inefficient team management.","They would have to increase bonuses to attract talent, focus on employee satisfaction, and try to attract better clients and focus on high-rewarding projects.","3.0","Value Partners"
"entrepreneurial, high-powered, relaxed, informal, lots of fun, different personalities among senior management","probably a bit too unstructured, especially among senior management and for internal processes",,"4.0","Value Partners"
"Flexible Schedule, Decent professional development and clinical training, understanding/flexible management.","No benefits for contractors, paid once a month","PMC has had some ups and downs for various reasons; however for the past 4 months, the company has definitely been heading back in a positive direction. The only issue I've ever had was with payroll, but for the past 4 months payroll for contractors has been consistently on time and accurate. There's more communication between management and team members. The company is obviously rebuilding and restructuring, but if the past quarter is any indication, it is definitely regaining it's footing. Also, we no longer get paid two months in the hole. We get our money the following month. I'm definitely more confident in the companies standing. Then general atmosphere is definitely improving.","4.0","Proactive Management Consulting"
"For me, the pros was the job its self and the ability to make what you wanted. However, there are other, more REPUTABLE businesses where this is also possible.","- Never paid on the date agreed upon in my signed contract.- Tonya McMillian (the CEO) always had a reason NOT to pay.- Tonya McMillian blamed anyone and everyone for not paying, but never accepted responsibility for her actions and misuse/ mismanagement of funds she had received. She continued paying herself, but was paying contractors minimal, if any. People lost their homes and cars, due to this, but not Tonya. Tonya continued to keep up her lavish lifestyle.- While Tonya McMillian was not paying her employees and contractors, she still had the ability to take numerous vacations and make renovations on her $500,000 home.- There are contractors still working for PMC that are owed $10,000+, but are afraid to quit out of fear of never seeing any of their money.- Tonya McMillian has filed bankruptcy in an attempt to escape paying all of the employees/ contractors past and present that have made her money.","Management will not listen to anyone.","1.0","Proactive Management Consulting"
"Training meets industry standards. You will receive a full case load and you will get turned off from working","They do not pay you on time or at all. You have to work two months without pay and they will work you until you are so weary that you will have to depend on them. Stay away","Pay your staff. Stop hiring people when you have absolutely no money to pay them. One day you are going to mess over the wrong group of people.","1.0","Proactive Management Consulting"
"Pros, there are none when you realize that no matter what you will not get paid.","The cons are what you will read throughout this post. Tonya Mcmillian, her mother Doctor Houston, and her main minion RJ. Lewis are liars, thieves, and shysters. They hire you as a contractor so that you have no rights under the department of labor. They tell you that you'll be placed 2 months in the hole, so you have to invest your own personal money buying gas, food for clients, etc. Once you're 3, 4, 5 months in a different owed thousands of dollars, you have to quit. They then hire a new group of people and start over again. She is running businesses and living a lavish lifestyle plus taking expensive trips while people are going under, losing their homes and vehicles.","Your actions are irresponsible and criminal. This is theft by deception at the very least and once enough people are together on this, you're going to jail.","1.0","Proactive Management Consulting"
"Paid better than most in this healthcare field","Could not get paid on time, nor did they offer direct deposit","Respect your employees","2.0","Proactive Management Consulting"
"Flexible because you get to make your own schedule. It was good as a part-time job and because you work in the field you are exposed to different things.","Payroll was always late and management never seemed to care. They would give you one date then that date would come and they would have another excuse as to why they could not pay you on time.",,"2.0","Proactive Management Consulting"
"The opportunity to help clients who are in need, though you can do this via, a number of other CORE/WRAP providers that will actually pay you for your work.","Refer to most of the other comments. The company has been withholding pay from contractors for years. At least some contractors have not been paid for work they completed in October 2015 (yes, 7 [seven] months ago!) Excuses and promises have been made, and the situation has gotten worse. Refusing to pay your workers is the worst insult a company can possibly make. Tonya McMillian claims that Medicaid and DFCS are not paying her company, but for some reason, Proactive's competitors have no problem paying their staff on time, even though these companies are paid in exactly the same manner, by DFCS or Medicaid. The pay problem is an internal management problem, not a problem with DFCS or Mediciad. Tonya stated, on this very Glassdoor forum, then things are improving. From what I can tell, they have not!!","Sell the company to someone who know how to manage money.","1.0","Proactive Management Consulting"
"This company has a good reputation from several years ago.","Toxic environment/work place; payroll issues.","Do unto others as you would have them do unto you.","1.0","Proactive Management Consulting"
"ABSOLUTELY NONE for this crazy situation!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","Where can I start,They are pathological lairs.Upper management is in denial of their current situation & waiting for miracle.Haven't paid some of us in 4 month & still making excesses, how it going to be different every month.Management is constantly on vacation & driving around the most expensive car, when people are struggling to make it day to day.For what I know this company will be dissolving very soon.","Be honest to your self & your employees and make the right decision soon. Too many people suffered enough for so long.","1.0","Proactive Management Consulting"
"The only pros are the para-pros and the therapists who naively come in to help the community","This agency is not here to help others. They are only in business to help themselves. Their agency is riddled with corruption and disorganized. The turnover rate of their employees is literally a revolving door of therapists with degrees who are worked to the point that they become the population that they are trying to serve. Come to this agency if you just want to tell people that you have a job. But come pay day they will find a reason for your check to be short. They are always full of excuses. This agency lives check to check. If you work for this agency you will be in an never ending cycle of debt. Evictions will happen to you because your landlord will not understand how you went to work for a company DAY IN AND DAY OUT and you still don't have the money to pay your rent. You will waste all of your savings, money, gas on going to go see their clients but you will not realize until you are at rock bottom that even though you put the client first, PMC, does not care about you or your bills. It makes ABSOLUTELY no sense to work for an agency that mismanages their funds and push back employees paychecks. And lastly, don't ever work for a company that tells you this: All the clients that you see in January, you will get paid in February. Get your check every two weeks or don't work for them at all.","No matter how many times you switch offices, company names, or refuse to answer the phones, everything that you have done to your current and former employees will follow you forever. Your reputation is your wealth and you are looking mighty impoverished at this point.","1.0","Proactive Management Consulting"
"Good working environment. Timings are flexible","Every thing is fine here",,"5.0","Pylon Management Consulting"
"Great set of clients and a great learning platformGood salary and transparent incentive policyOpen door policy and managers/leads were supportive","Alternate Saturdays are workingWork allocation can be done better","Make it 5 days working.","3.0","Pylon Management Consulting"
"Great set of clients and a great learning platformGood salary and transparent incentive policyOpen door policy and managers/leads were supportive","Alternate Saturdays are workingWork allocation can be done better","Make it 5 days working.","4.0","Pylon Management Consulting"
"good company to work in. good client database.. good management.","nothing specific... keep up the good work",,"5.0","Pylon Management Consulting"
"Good learning for freshers only","No value of employee, worst work culture, no stability of job, people pressure is much more than work pressure, no flexibility.Not disclossed the incentive policies clearly at joining.Even at glassdoor they themselves put essay sized comments for making good reputation (which normal employee never write in that manner)Neither good clients nor experienced employees(except 3 employees in whole team).",,"1.0","Pylon Management Consulting"
"Good learning opportunity if you get a good mentorGood for freshers","Lot manyNo transparency in the appraisal systemNo work life balanceCTC is way beyond the industry standards",,"1.0","Pylon Management Consulting"
"I have worked with some of the most intelligent and motivated colleagues. Top management and leads are very helpful and always approachable. Well streamlined work flow. Information about work, policies, clients and requirements is very easily accessible, no hidden doors. Open environment, freedom to choose requirements from the pool. Huge list of senior requirements from IT and Non-IT domain both. Transparent incentive policy, you can yourself calculate your incentives. Employee friendly and encouraging work culture. Leads always encourage to take more responsibilities and exposure. Steep learning curve. Performance driven culture, no politics or favoritism, your work speaks for you !!","No negative at all till now, Pylon is one of the top recruitment companies in India","Keep growing !!","5.0","Pylon Management Consulting"
"What sets Pylon apart from other search firms is the responsibility, learning and growth that people get here from the Day 1. If you are a fresher and want to learn Recruitment for top product companies in India, then Pylon is the place to go!!Salaries are also better than most of the Search firms. In last 3 years there was not a single month when salaries came later than 5th of the month, usually between 1st to 3rd only.Work pressure and project deadlines are there in every company nowadays and Pylon is no different. My lead was very supportive and gave me a range of positions according to my interest and expertise area.Management is flexible to employee issues and supports its employees at crucial junctures like Marriage, Maternity etc. Working from home option is also made available if required.Good, transparent incentive policy.","Cant think of much, have enjoyed working here in all aspects. Made lots of friends and had fun :)Pylon will make you a true Recruitment Specialist. I think Pylon should add more service verticals apart from Recruitment and give people tasks apart from recruitment too so that people can get holistic learning of HR area.Should bring more non-monetary awards and recognition strategies in addition to the existing quarterly and yearly awards.",,"5.0","Pylon Management Consulting"
"good organisation with lot of learnings","more of people pressure than work pressure",,"4.0","Pylon Management Consulting"
"Initially they give a nice package and project it is a great place to work.","When appraisal time comes, they are at their bad.Very bad people management.Attrition Rate is very high in the Organisation...finally they are signing a bond with employees for one year...","""Treat your employees right and they will take care of your clients well"".Be loyal towards employees and they will be loyal towards Organization","1.0","Pylon Management Consulting"
"Good exposure and learning.Healthy work enviornment.","Salary band is quiet low, no appreciation.","Increase your salary bracket.","3.0","Pylon Management Consulting"
"Employee friendly, stable, fabulous incentives, lot of learningLot of ownership for people who prove themselvesGood work life balance as we don’t work on Saturday’s except the 4th SaturdayDecent remunerations as per market standardsGreat place to learn with good clientele","No one is born just perfect!...Companies are built when the great mind and talents are integrated together.We celebrate success and learn from our failures with a zeal to achieve the best.Few bad hires in the past resulted in loss of time, money and results.","The changes Leadership team is bringing in to make work place better is good and we should continue with that.One of learning is “never compromise on hiring”…..look only for quality hires.","4.0","Pylon Management Consulting"
"As a fresher learning is good, you can learn if you want. Expectations hurts here!","- worst work culture- people pressure more than work pressure- annoying work timings- no work life balance- high rate of attrition- targets can become night mare for you and in lieu of achieving targets you only get peanuts- dirty work place politics (in which ceos are even involved and a big LOL for this)- miss management or people are mis-handled are same- employee is not a human rather they treat them as machine- MANAGEMENT SIMPLY SUCKS!!","Advice to dumb people!!Grow up people, its your company hope not an rented one like your stupid office places. Stop carrying I don't care attitude if people started the same they will leave you no where. Stop exploiting employees! Hope someday someone kicks you at the right place and then you will understand how much it hurts to be associated with you.","1.0","Pylon Management Consulting"
"- Learn Recruitment industry from scratch- Get Strong Networking- Freedom to choose the client to work on- Friendly environment- No Politics- Open door policy from Management- Quality Training, Its hectic but we get to learn time management- Other consultancies hires you immediately if you are from Pylon, Definitely a better place to get in and learn.","- Flat Hierarchy. (Positive side: Lot of gaps to fill in, if you have the ability; growing up the ladder is easy)- Infrastructure; Software, Chairs & Desks need to be modified/Changed to provide more comfortable environment to work for long hours if needed..","Just work on the Infrastructure, rest all things are better than other companies.","5.0","Pylon Management Consulting"
"Good learning experience (during training which becomes a little boring at times)AutonomyFlexibleInformal environment","Do not expect any hike no matter how hard you work(its only for special people)No documented policies which changes from person to personDo not expect any appreciation for anythingThe more you do the more they expect with no returns (exploitation would be the right word to be used in this context).Forget about the word appraisal here...even if it happens remember the concept of beggars have no choice so you have to take what they give which will make no differenceGrowth is nill and stagnant as there is no hierarchy as well as do not expect any financial growth.Motivation level will always be under the grounds no matter how much you try to pull yourself out of this traumatic situation.Management will always have something or the other as explanation to give you for not giving you hike...it does not matter if you have performed well.Few specific people in the organization are always eligible for appraisals who do not deserve it at all (exceptions are always there of course).A normal person can tolerate this organization max for a year not more than that and the management also expects most of the employees to leave after a year so its mutual.","Please be rational instead of being partial and blindThink about the disparities existingLearn to appreciate people and please let that reflect in numbers not just wordsEmployees do understand the reasons for your constant changing policies during the appraisal times so stop doing that as they are not fools.Stop being partial to people who constantly are buttering you.Open up your eyes, try to recognize the genuine potentials in your employees instead of believing blindly.","1.0","Pylon Management Consulting"
"Open door policy, good training","Almost flat hierarhy, can be better",,"4.0","Pylon Management Consulting"
"No advantages or benefits here","They bully you around and dont teach you anythingIts a bad companyGive respect to get respect come on thats the basic manner that you should know.THE COMPANY IS A TOTAL ZERO “0”","What advice to give to a ship that has holes in it LOL","1.0","Pylon Management Consulting"
"Freshers can learn here but wait be here only for 6 months or you will be made into cows and be milked like anything..","** Infrastructure not up to date.** Pirated software used .** High rate of attrition due to attitude of the management.** Showoff is such as if this company is a million dollar company.** Big talks that the management indulges in never materializes.** The employees are manner less right from a fresher out of a college to the Team Lead.** Appraisals are not given.** The employees who are to get incentives are literally made to beg for it.** Discrimination rather apartheid exists here.** Employees are made to slog and slog without appreciation.","What advice do you want now???? Revamp your whole TL system or we all will leave and then you will dance.. Take care of the employees or there will be no one to take care of you.","1.0","Pylon Management Consulting"
"Decent exposure for freshers, but not for experienced","1. Employees who work hard do not get recognition.2. Teams working on niche searches, are treated in the same way as teams working on easy bulk sourcing. Both teams have same targets, it's funny :)3. Directors are mostly useless, two of them do not know anything about recruitment, industry vertical they handle.4. Stupid rules come up anytime in the organization.5. You need to keep Directors happy, socialize with them to grow in the organization, even if you don't work, that says it all.","None, as I don't see that organization growing as corporate organization with good work culture.","1.0","Pylon Management Consulting"
"A good place for fresher to learn about the recruitment industry.","1> Long working hours which are bound to take a toll.2>No leadership quality among the TL's3> Nonsense rules crop up anytime.4> Employees not consulted when targets and cleints handed out.5> Working days are all the 7 days of the week.6>No time to relax.7>Divide and rule attitude.8>Work and work but no appreciation","We are not donkeys or asses that you can rule over us. The day your senior resources (1+ yrs) leave ypu will crumble like anything as the time to train the new resources will drain you out. We are not there because of you BUT YOU ARE.","1.0","Pylon Management Consulting"
"Good environment,less politics compared to others, good working atmosphere,guidance and support through out.","WORKING ON ALTERNATE SATURDAYS the only cons.","GIVE OFF ON SATURDAYS","4.0","Pylon Management Consulting"
"For an HR fresher, this would be one of the best places to learn the art of recruitment as you would be completely hands on the job. Requirements and challenges would be never ending and varying so its great place to learn the trade.","Work life balance is non existent. Work timings will almost kill you - 10 hours mandatory (Mon- Sat) and you may even be required to extend your work hours very often because of the heavy work load. Pay is less than 1.5 L for a fresher despite the work hours! Variables are promised at the time of joining but not granted in reality.Internal politics and ego clashes are on the higher side especially if you have a mind for yourself and speak it out. Team Leaders actually aggravate the situation than calming things down, a complete opposite to what they are expected to do in reality.","Don't treat your employees like donkeys who would slog it out forever despite the cons. Its high time you wake up from your slumber considering the high cases of employees going absconding. Just because a few people have stayed on for a few years, it does not mean everybody else will follow suit.","2.0","Pylon Management Consulting"
"work-life balance, flexi timings, flat organisation structure, provide opportunity to work in different sectors, good company to start your career,","Leadership problems, poor compensation plan, career progression is very slow, managers have poor people management skills,","Please create vision and mission for the company and work towards it. Please understand aspirations of your employees and provide opportunities accordingly.","3.0","ICRA Management Consulting"
"A good place to start one's career. Learning is phenomenal for those who are just starting out in the industry.","Organizational culture feels archaic and outdated. Pay is below industry average.","Improve pay and modernize culture to attract and retain talent.","3.0","ICRA Management Consulting"
"Its a great job for bachelors and get very good professional experience","Nothing big to say !!! Better to improve the compensation structure","No comments","4.0","ICRA Management Consulting"
"Good learning experience for freshers, multiple projects to work on, good peers, good brand name","None I could think of","Great management, pleasure to work with senior guys, high ethics","4.0","ICRA Management Consulting"
"Provides great learning opportunity. Cooperative staff.","Growth is extremely slow in the company. No structure, lot of bias.","None","3.0","ICRA Management Consulting"
"Excellent work style in service industry.","Most of the staff are under Contractual Assignment.","None","3.0","ICRA Management Consulting"
"There is nothing positive about organization","Wayward management, high level office politics","Close the company and stop screwing people careers","1.0","ICRA Management Consulting"
"Professional independence, ideas are valued, no hierarchy, senior management willing to listen, a lot of learning if you are inclined to work hard","Need to be more market oriented","revise salary strucutre","4.0","ICRA Management Consulting"
"As a fresher , iMaCs is a good place to hone your skills and ultimately graduate to a professional environment .","Shortchanging employees in the salary structure :1. Only 70 odd percent ever makes it to the bank2. Leave Encashment of a months basic is a part of CTC3. Compulsory 2500 rupees per month for a 3Lac Medical Policy ( Regardless of what age bracket the employee falls in , so that old timers get a better deal )4. Non Existent Bonuses even as the whole offer letter is glorified with bonuses of 0-50%5. A Credit Card Component of close to 12000 is a part of CTC ( Can only be used to pay membership fees and nothing else)No Human Resources in Place: You may find yourself seething in agony trying to get hold of a company secretary who will in all likelihood evade your calls.Increments: Increments may be in the form of semi annual deferred payments that an employee forgoes if papers are put down before the date of receipt.Frustration with Infrastructure: Will cut corners wherever possible","Create a department for human resources instead of making do with a company secretary who sets draconian policies, promotions and increments that are agnostic of being from South India.","2.0","ICRA Management Consulting"
"Little flexible timing and freedom.","- Very complicated salary structure to fool employees.- They charge 25,000 for the 3 Lac mediclaim policy.- You cant claim many component of your CTC. Rule of 72 ( In hand is 72%)- Management has no forward looking vision.- There is no HR in the company. Worst HR policy.- No appraisals at all. After working for one year you will get a hike of 5% on your basic salary which is like INR 700-1000(per month)- Extremely poor infrastructure facility. The laptops/PCs provided are outdated.","Clear HR policy and salary structure.","1.0","ICRA Management Consulting"
"We develop solutions to employee selection, employee retention, employee development issues which make working here very satisfying.","The work can sometimes get frustrating.",,"5.0","BSI Management Search & Consulting"
"Stable, steady work that isn't too difficult. The work is very grim at times and having a sense of humor about the content was valued!","Passive aggressive micro management, lack of transparency, managers don't go to bat for team. They seem to hire inexperienced managers that can't effect real change. structure from the top down is tough on everyone.","Just because it's a union environment doesn't mean you don't have to use praise, feedback and motivation techniques to manage a team.","2.0","Themis Program Management And Consulting"
"Everyone is very helpful and at your disposal when you need anything, and they back each-other up whenever there is a problem.","Most of the time you won't see anyone else, and you have to be entirely self sufficient and motivated because you'll be working almost completely on your own.",,"5.0","IT Management Consulting Group"
"You will be an expertise in auto industry if you work here for more than one year. You can experience life of a consultant in the first day entering in haistand","If you do not mind salary, may haistand is a nice choice. Remember , you are not only a consultant in haistand.",,"4.0","Haistand Consulting"
"Fun-loving and inspiring top experts in management consultingYou'll learn a lot from them and they are your friends, your mentors, your colleagues","Workload could be overwhelming as a consultant",,"5.0","OCD Management Consulting"
"Market Leader, Partner with major international technology partners, Flexible work hours, Multiple Client engagements.","Deadlines are hard, work hours can be tough, highly complex implementations, ongoing research.",,"5.0","Planet10 Management & Consulting"
"You are able to work from home. They have a great HR department. Nice annual trip. The interims are great to work with.","They expect you to work 16 hours a day and get paid for 8. Employee benefits are high. Negative work environment.","Learn how to treat your employees better.","1.0","HCT Executive Interim Management & Consulting"
"Very open-minded and flexible structure. Quick decision-making. Friendly team and in-house atmosphere.","Nothing negative so far. Right attitude to the staff.","Keep doing your good work.","5.0","EDELWEISS Management Consulting"
"Good people to work for. Challenging opportunities.","There is more traveling than I wanted.",,"5.0","A.T.M Strategic Management Consulting"
"Best place to work in St Louis.","None. Great opportunity to help others to grow.",,"5.0","VES Management Consulting"
"They attempt to appeal to employees with seasonal gifts such as turkeys, ornaments with the company logo, etc. Hired teaching and support staff very friendly.","Provides lowest teacher salaries in the surrounding area, benefits provided not comparable to benefits provided to teachers in public schools, students transferring to other schools find themselves far behind their peers, the school does not provide the resources (financial and classroom materials) necessary to give all attending students the high-quality education they deserve, the administration does not promote a healthy work environment, the administration acts aggressively towards employees they are not personal friends with, no opportunities for advancement.","Focus on the financial, emotional, and resource needs of the highly trained and experienced teaching staff before the needs of parents, HR, and administration. The success and retention rate of students has a direct correlation to the success and experiences of the teachers.","1.0","Summit Management Consulting"
"Flexible Hours and a nice boss. Offered freedom in work schedule","Did not seem as if the upper management was organized, and I was accidental copied into emails I was nt supposed to receive.",,"2.0","Management & Economics Consulting"
"Very nice atmosphere and enjoy the people I work with. They are flexible with hours and are understanding with school.","I don't really have any cons.","I don't really have advice","5.0","Simpson & Simpson Management Consulting"
"Company differentiate itself with its unique culture from other consulting companies. In Opsago, employees can find a transparent place where they can get any updates from the top management team in either strategic or employee-related issues. Also, Opsago's partners put their best effort to spend time with each level of employees from Analysts to Directors.","Since it is a boutique consulting company, the trainings are limited and given internally. Althoug it does not mean that they are not satisfactory, the company lacks of providing their employees with the international network through trainings. Besides, not paying for overtime is one of the downside of the company considering their competitors are paying.",,"4.0","Opsago Management Consulting"
"small cutting edge company. Management works along side of employees","management work hard cannot blends in with workers","keep up the good work","5.0","JLH Management Consulting"
"Sets a platform of oppurtunity for those entering the businessss world","It was very unorganized but has potential",,"3.0","Utilize Consulting Service and Management Group"
"lots of things to learn as a recruiter.get chance to be connected with clients directly.good incentive if you work hard.","No as such if you are a hard worker.Not a good place for lazy people.","Nothing","4.0","Pathfinder Management Consulting"
"Ambiente agradável, equipe unida e sempre solicita às demandas para aprendizado","Plano de carreira extremamente mal estruturado, poucos sócios, sem remuneração variável e remuneração abaixo do mercado.","Estruturar um plano de carreira.","4.0","Dextron Management Consulting"
"Flexible Zeiteinteilung, Spannende Projekte, gute Vorgesetzte, einfache Hierachie und Kommunikation","Teilweise starke Schwankungen in der Auslastung",,"5.0","GCI Management Consulting"
"A personal feel, high learning opportunities, great work support, flexible work timings, i have had a wonderful experience here","As far i have experienced in my time here, i dont have any cons or problems that i can put down here.",,"5.0","Gemba Management Consulting"
"Cutting edge approach, smart leadership, humane approach to management and leadership.Empowerment and trust.","Poor marketing resulting in low rate of business","Reorganize and add strong marketing.","3.0","Magus Management Consulting"
"Small environment, you get to work on many projects.colleagues are cool","Gap between seniors and juniorsNot a clear visionlatencies","give more value to your assets. better salaries and be accountable","3.0","Efficiency Management Consulting"
"Small team, direct relationship with managers, work indepedently and lots of trust on my work and decisions. International environment and lots of flexibility.","Reduced support from the team. Perhaps big responsabilities rely on very young and inexperienced proffesionals.","Needs more coordination among the team","4.0","Carbon Management Consulting"
"Friendly atmosphereGood All round development","Lack of planningNo StrategyWork load","Invest in your staffIncrease the salary","1.0","Leadtech Management"
"Great company that closed. It was a nice company for over nine years. Everyone was nice to work with and telecommuting is such a nice option with the company. They taught so much and then trained so much to get you up to speed.","The company closed and that was sad. It was so nice to have them available.",,"5.0","Innovative Consulting & Management Services"
"Can take an aggressive and entrepreneurial approach to consulting with client companies or to fit the customers' requests or needs","This is management consulting so not the corporate side which is very different","Use consultants to your advantage and understand and appreciate their value","5.0","Match Consulting International"
"Super Gehalt, wenn man sich beweist","Dazu gibt es nichts zu sagen","Kein Ratschlag","5.0","Data Management Consulting (DMC)"
"Work environment between interns and junior consultants was great. They are ready to help and very open-minded.Projects you are working on are asking for your immediate attention and time to complete.","Unfortunately a lot of new people enter the company and left in my 2 months there. People traffic is the biggest drawback, working hours are not so bad but what I heard the salary could be a bigger.","I think relationship between the employers could be much better. I got a sense there is a lot of jealousy between the people.And even in this hard times, I think the compensation could be better. There was just few interns, could be nice if you know their names.","4.0","Sense Management Consulting"
"Open, friendly, Flexible, good benefit","A lack of working process and infrastructure",,"4.0","MCG Management Consulting"
"The money was and benifits were alright.","They are fair to their employees",,"1.0","FSR Management Consulting"
"Get involved in all sort of projects during all phases.","Limited number and type of clients.","The company has potential to grow exponentially in other industries other than pharmaceutical.","5.0","Development, Management & Consulting Group"
"Sichere Anstellung und ein großes Wirgefühl prägen das Arbeitsklima. Prämien, wie Urlaubs-, und Weihnachtsgeld werden immer noch gezahlt.","nur noch Prozesse. Die immer mehr werdenden Prozesse lassen kaum noch Zeit für wichtigere Arbeiten. Man muss sich nur noch mit Schriftkram aufhalten.","Es sollte unbedingt mehr Motivation der Mitarbeiter stattfinden.","3.0","CNT Management Consulting"
"Learnt the deep knowledge about different type of businesses. almost all nature of business","trevelling to client places. some are outside london.",,"5.0","Rifsons Management Consulting LRD"
"Fun work that has a great impact.","Some projects turn into longer term recruiting and hiring after better processes are in place. Rather solve the problems and show client personnel how to do long term implementations.","Expand now as many firms need your services. Hire or contract more people.","5.0","J*Lis Management Consulting"
