"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure"
"385","I408K","Health","Y9874X",5,4,6,7,6,6,7,59514,3
"386","Q106E","R&D","W6837Y",1,5,3,3,2,7,6,111713,6
"387","Q521Y","Finance","V1626X",4,4,5,5,7,6,6,79125,9
"388","N560X","R&D","X2508W",4,3,6,6,6,4,NA,72663,8
"389","Z950U","Ethics","V5401Z",5,2,6,6,7,4,3,75604,10
"390","I203G","R&D","X2508W",5,2,6,7,7,4,NA,92595,6
"391","J301A","Finance","V1626X",1,4,3,4,3,6,5,55821,1
"392","S976W","R&D","V4859W",1,3,2,2,2,5,4,70863,10
"393","S741W","Health","Y9874X",4,5,6,5,6,7,NA,76718,10
"394","V173U","R&D","V4859W",3,2,5,5,5,4,3,53936,4
"395","E420J","Finance","Z5080X",3,3,4,5,5,5,4,72330,9
"396","E568T","R&D","X2508W",5,4,6,6,7,5,6,47118,6
"397","H446H","Finance","Z5440X",5,4,6,7,7,5,NA,77496,9
"398","Q861G","Finance","Z4040W",2,1,3,3,4,2,3,46994,7
"399","R762S","Health","X3361V",4,2,5,6,6,4,2,51057,7
"400","A978J","Ethics","V1748V",3,1,4,5,5,2,2,61500,10
"401","I713I","R&D","V4203Y",3,1,4,4,5,2,2,122121,10
"402","F432U","R&D","W6837Y",3,5,5,5,5,6,NA,79980,8
"403","A544C","Finance","Z5080X",2,2,5,3,4,3,4,54579,6
"404","D482S","R&D","V4203Y",1,5,3,2,2,6,5,159917,8
"405","X815X","Ethics","V1748V",2,2,3,4,3,4,3,53976,5
"406","T610X","Health","V3988Z",3,4,5,5,5,6,6,59095,6
"407","C265B","R&D","W6837Y",2,1,4,3,4,2,4,53500,6
"408","Z993Y","R&D","V4859W",5,1,7,6,7,3,3,66052,8
"409","L470Y","R&D","V4859W",4,5,5,5,6,5,7,164291,9
"410","S287M","R&D","V4203Y",2,1,4,4,4,3,NA,64108,2
"411","E458N","Finance","Z4040W",3,3,5,5,5,4,4,123991,0
"412","P743P","Finance","W7052V",3,2,4,4,5,4,3,65289,8
"413","D763M","DSI","I511L",1,1,2,2,2,3,0,53056,7
"414","C435H","Ethics","W4935V",3,1,4,4,4,3,3,48388,5
"415","Q745K","Finance","Z5080X",4,2,5,5,6,3,3,49865,2
"416","K619Y","R&D","X2508W",1,4,2,3,2,5,5,55312,0
"417","U662D","R&D","V4203Y",5,4,6,6,6,6,5,50991,5
"418","N668B","R&D","X2508W",2,4,4,3,3,6,6,54406,1
"419","G874D","R&D","V4859W",5,5,7,6,7,6,NA,78222,10
"420","W685J","Finance","Z5440X",4,4,6,6,6,6,6,67739,4
"421","K432F","R&D","V4203Y",5,4,7,6,6,5,6,57753,5
"422","A997G","R&D","X8503X",5,1,6,7,6,2,3,74194,0
"423","T918L","Finance","Z5440X",3,1,4,5,5,2,2,54829,6
"424","T184S","R&D","V4203Y",2,2,4,5,3,3,3,78919,10
"425","V471N","DSI","Y7924Z",3,2,4,5,4,3,NA,48902,2
"426","B721P","Finance","W7052V",5,1,7,6,6,3,NA,51345,0
"427","D296R","Ethics","W4935V",1,1,2,2,2,2,3,64543,10
"428","D297I","R&D","W6837Y",3,1,5,4,5,2,2,125261,9
"429","X873K","DSI","I511L",4,1,5,5,5,3,1,68884,3
"430","T958X","Ethics","V5401Z",3,1,5,5,4,3,2,55401,1
"431","Y850S","R&D","X8503X",4,2,4,6,5,4,NA,49989,7
"432","R351T","R&D","W6837Y",2,3,3,3,4,4,5,55778,1
"433","C554V","R&D","V4859W",3,4,5,4,4,6,NA,94293,8
"434","G733T","Health","X3361V",1,2,3,2,2,3,3,51237,3
"435","V940Z","Finance","W7052V",2,2,3,4,4,4,3,131002,3
"436","Z378U","R&D","X8503X",1,3,3,2,3,4,4,146911,6
"437","N674Z","R&D","V4203Y",2,5,3,4,4,7,6,53125,6
"438","R300F","R&D","V4859W",3,3,5,5,5,4,5,51906,3
"439","B299D","Finance","W7052V",3,1,4,5,5,2,2,59710,3
"440","P541B","Ethics","W4935V",1,2,2,3,3,5,3,45449,6
"441","R293J","R&D","V4203Y",5,3,7,6,6,4,5,76271,9
"442","T353E","Health","Y9874X",4,5,5,7,5,6,NA,53824,0
"443","M307W","Finance","Z5440X",3,2,4,4,4,3,4,78844,6
"444","B423R","R&D","V4203Y",3,4,5,4,5,5,NA,75977,9
"445","V531P","R&D","X2508W",3,1,4,4,4,3,3,47647,1
"446","K868X","Ethics","V5401Z",2,4,4,3,4,6,6,92582,10
"447","O765M","R&D","V4203Y",2,1,4,4,3,2,3,142056,0
"448","C674X","Ethics","V5401Z",2,3,4,3,4,5,4,77174,9
"449","U539R","R&D","X8503X",2,4,3,3,4,5,5,72592,8
"450","I295P","Finance","Z5440X",2,5,4,3,3,6,5,104677,8
"451","U222I","Health","X3361V",3,5,5,5,4,6,7,133956,10
"452","H989X","Health","Y9874X",2,1,3,4,3,3,2,54943,4
"453","P102D","Finance","Z4040W",3,5,4,4,4,7,6,53568,3
"454","A951M","R&D","X8503X",4,1,6,5,5,2,3,54606,6
"455","L142A","R&D","X8503X",3,1,5,4,6,2,NA,127082,10
"456","H795B","Ethics","W4935V",4,4,6,6,6,6,6,86223,1
"457","X388A","R&D","X2508W",4,1,5,6,6,2,3,82062,9
"458","O690Z","Finance","Z5440X",1,2,3,2,3,3,3,73283,9
"459","E712C","R&D","X2508W",1,1,3,3,3,3,2,58006,2
"460","V831A","Finance","W7052V",1,3,3,2,2,4,5,54530,5
"461","J251V","R&D","W6837Y",2,5,4,3,4,7,7,57987,7
"462","H288H","Ethics","W4935V",4,3,6,5,5,5,4,49789,4
"463","A946V","Health","X3361V",4,5,5,6,5,6,NA,51816,1
"464","R916O","R&D","X8503X",1,2,2,2,3,4,4,56425,4
"465","C708X","Finance","Z4040W",2,4,4,3,3,6,5,60393,2
"466","T721A","R&D","V4859W",2,4,4,3,3,5,5,53162,6
"467","X267K","R&D","X8503X",2,1,4,4,4,3,NA,54189,5
"468","U118T","Finance","Z4040W",3,1,4,4,5,3,2,56120,2
"469","O219K","R&D","V4859W",5,1,6,7,7,2,2,67910,10
"470","V288Z","Health","Y9874X",1,4,3,3,3,5,6,59980,1
"471","V367P","DSI","Y7924Z",2,5,3,3,4,7,NA,74898,10
"472","Z846C","DSI","Y7924Z",3,5,5,4,5,6,NA,103663,6
"473","G434G","Finance","V1626X",3,5,3,4,5,6,NA,148387,0
"474","M499U","Ethics","V1748V",2,2,3,3,4,3,4,103910,3
"475","I733Y","DSI","I511L",4,2,7,5,5,3,2,49758,3
"476","I994O","Finance","Z5440X",2,3,3,3,4,5,4,68167,10
"477","M149V","R&D","W6837Y",4,4,5,5,5,5,5,79196,8
"478","J977M","Finance","Z5080X",2,5,4,3,4,6,7,78979,8
"479","G724Y","Finance","Z5080X",2,4,3,3,4,5,6,98323,5
"480","Z841N","R&D","V4203Y",3,3,5,5,4,5,4,68551,7
"481","Y465S","Finance","Z5080X",3,5,5,4,4,6,6,47605,7
"482","K445U","Ethics","W4935V",5,3,6,7,6,5,5,69854,10
"483","Y379Z","Health","Y9874X",4,2,5,5,6,3,4,160574,8
"484","D889S","Ethics","V5401Z",4,2,5,5,5,3,NA,54445,2
"485","G673G","R&D","X2508W",2,3,3,5,3,4,4,57974,3
"486","L542S","Health","V3988Z",1,2,2,2,2,4,3,53238,4
"487","K182T","Finance","Z5440X",3,1,4,5,6,3,2,80262,1
"488","F233Y","Finance","Z5080X",2,5,4,4,3,7,7,54673,0
"489","S972H","Finance","Z4040W",3,3,4,4,4,5,NA,59540,2
"490","N621M","Finance","Z5080X",4,4,6,5,6,5,6,70397,10
"491","V330R","Finance","Z4040W",1,4,3,2,3,5,NA,64402,4
"492","D579D","Finance","Z5080X",5,1,7,6,7,3,3,58382,0
"493","N999K","Finance","W7052V",3,5,4,4,5,6,NA,47645,6
"494","K270Q","Health","V3988Z",4,4,5,6,7,5,NA,56972,3
"495","J474E","Finance","Z4040W",3,2,5,5,5,3,4,46609,6
"496","C629K","Finance","Z5440X",5,4,6,6,7,6,5,87001,9
"497","G518S","Finance","W7052V",4,2,5,6,5,4,4,77099,8
"498","F540N","Finance","W7052V",3,2,4,5,4,4,3,54752,5
"499","Q410J","Health","X3361V",4,1,5,6,6,2,3,55650,1
"500","H377G","R&D","X8503X",1,2,2,3,3,3,4,53590,2
"501","E836Y","R&D","V4859W",5,5,7,7,7,6,NA,94158,4
"502","H796B","Ethics","V1748V",3,5,5,4,5,5,7,58909,5
"503","I904K","R&D","V4203Y",3,2,5,5,5,4,4,70476,8
"504","I424A","R&D","X2508W",2,2,4,4,3,4,4,125061,8
"505","D789K","Finance","V1626X",2,1,3,3,4,2,2,52336,5
"506","G952M","Finance","Z5080X",2,2,3,3,4,3,4,75781,4
"507","P655F","Finance","V1626X",2,2,2,3,4,4,NA,107482,4
"508","K686V","Finance","W7052V",4,4,5,5,6,5,5,59039,2
"509","P182S","R&D","X2508W",4,1,7,6,5,2,3,68362,10
"510","U585I","DSI","Y7924Z",3,2,4,6,4,3,4,51026,7
"511","W250C","Finance","Z4040W",4,2,6,6,6,3,3,77270,4
"512","O431P","Finance","V1626X",3,1,5,5,5,2,2,129825,3
"513","M450B","Finance","Z4040W",4,3,6,6,4,5,4,48343,4
"514","J120Z","R&D","V4203Y",1,1,3,3,3,2,4,75570,9
"515","J444K","Ethics","W4935V",1,4,3,3,3,5,6,47490,4
"516","N225A","Ethics","V1748V",3,5,5,4,5,6,6,47175,1
"517","A847M","Ethics","V5401Z",3,2,4,4,4,4,NA,165627,8
"518","R271B","Finance","Z4040W",4,4,5,6,6,5,6,151157,8
"519","T207P","Finance","Z5440X",2,5,3,3,3,6,7,71502,3
"520","Y126L","R&D","V4859W",3,2,5,4,4,4,4,57687,2
"521","P230O","Finance","Z4040W",2,3,4,3,3,4,4,70592,8
"522","D669M","R&D","X2508W",1,5,4,2,2,6,7,51684,4
"523","E351Q","Finance","Z4040W",1,2,2,3,3,5,3,127275,2
"524","P451M","Ethics","V5401Z",3,2,5,5,5,4,NA,79168,0
"525","Q766V","Ethics","V5401Z",5,5,7,7,7,7,NA,55088,3
"526","L986W","Finance","V1626X",4,3,6,6,6,4,NA,77698,5
"527","Q851A","R&D","W6837Y",1,5,2,3,3,7,7,113082,10
"528","W250C","R&D","X8503X",2,5,3,3,4,6,6,132851,3
"529","R870I","Finance","Z5080X",5,2,6,6,6,4,4,52227,0
"530","C349N","R&D","X8503X",3,5,4,5,5,6,6,52008,7
"531","J959L","R&D","X2508W",4,3,5,6,6,5,4,75214,8
"532","E666C","R&D","V4859W",3,3,5,4,4,5,5,45279,7
"533","F245L","R&D","X2508W",3,4,3,5,5,5,6,53023,4
"534","V760F","Ethics","V5401Z",3,4,5,3,4,5,6,128814,7
"535","A637D","Finance","Z4040W",4,1,5,6,6,3,3,55630,1
"536","A627Z","Health","Y9874X",1,3,3,2,3,5,4,170389,10
"537","D775V","Ethics","W4935V",3,4,5,5,5,5,6,77233,8
"538","N434V","R&D","V4859W",5,4,7,6,7,6,6,170457,9
"539","Q710E","DSI","Y7924Z",4,3,5,5,5,5,5,55756,3
"540","U319Z","Ethics","V5401Z",2,4,3,3,3,6,5,52617,6
"541","W792F","R&D","V4203Y",5,2,7,7,6,4,4,57301,6
"542","G157Z","Ethics","W4935V",3,2,5,4,4,3,4,54407,3
"543","Q670O","Finance","V1626X",5,2,7,6,5,3,4,100246,2
"544","L354H","Finance","Z5440X",5,1,7,7,7,2,2,134439,4
"545","X613P","Finance","W7052V",3,3,4,4,4,5,5,83194,10
"546","H914H","R&D","V4203Y",3,3,5,5,5,5,5,56843,4
"547","D392M","DSI","Y7924Z",1,3,2,3,2,4,4,70097,9
"548","F813E","R&D","V4859W",2,5,2,4,4,7,7,48188,6
"549","E784W","R&D","X8503X",4,2,5,5,5,3,NA,55338,5
"550","B838E","Finance","Z4040W",5,4,7,6,7,6,NA,59912,6
"551","A969A","R&D","X8503X",5,1,6,7,6,2,2,62758,6
"552","L167X","R&D","W6837Y",1,4,2,2,3,5,6,132842,5
"553","L404X","Finance","Z5080X",4,4,6,5,6,6,4,59577,4
"554","U786K","Finance","Z4040W",2,5,3,3,4,6,6,91182,0
"555","S921F","Ethics","W4935V",1,2,3,3,3,5,3,56536,2
"556","J129O","Finance","V1626X",1,3,3,2,3,4,NA,53661,7
"557","O671E","Finance","Z5080X",3,5,5,5,5,7,6,46415,7
"558","R761R","R&D","W6837Y",1,3,3,3,3,5,5,59640,2
"559","G377J","R&D","X8503X",5,5,7,6,6,7,6,135072,8
"560","Y293Q","R&D","W6837Y",3,1,4,4,5,3,3,54382,0
"561","E963W","R&D","X2508W",2,3,3,4,4,5,5,59614,1
"562","K372H","Health","X3361V",3,4,5,5,4,5,6,108649,1
"563","M590T","Finance","V1626X",2,1,3,4,4,3,3,53022,7
"564","M930M","Ethics","V1748V",4,4,5,6,7,5,6,147230,9
"565","V241O","Finance","V1626X",4,5,6,5,6,6,NA,61798,9
"566","T234M","Finance","Z5440X",3,3,4,3,5,5,5,149745,8
"567","O869B","Finance","W7052V",1,5,2,2,2,6,7,54758,3
"568","R212U","Ethics","V5401Z",1,3,3,3,3,5,5,58498,4
"569","U580T","R&D","X2508W",3,5,5,5,4,7,7,73249,6
"570","Q436J","R&D","X2508W",5,1,6,6,6,2,3,67377,1
"571","R739Y","R&D","W6837Y",1,3,3,3,2,4,5,118029,7
"572","I200K","Finance","Z5080X",3,3,4,4,3,3,6,100305,4
"573","N423N","R&D","X8503X",5,4,6,7,7,5,6,87028,8
"574","J644V","Ethics","V1748V",5,1,6,7,7,2,2,80775,10
"575","W628H","Ethics","W4935V",2,4,4,5,4,5,5,52983,6
"576","K514D","R&D","X2508W",4,2,5,6,5,4,4,87755,5
"577","F465J","Health","Y9874X",1,5,2,2,2,6,6,59782,6
"578","C309T","R&D","W6837Y",1,2,3,2,3,3,4,75155,7
"579","E199Z","R&D","V4859W",2,5,4,3,4,7,6,67997,10
"580","Z672J","Health","X3361V",4,4,5,5,5,6,6,131989,5
"581","T524A","Finance","V1626X",1,1,4,3,2,3,2,47819,6
"582","D744G","Finance","W7052V",2,4,4,3,4,6,5,61385,6
"583","U380G","Health","Y9874X",3,4,4,4,4,5,5,53206,5
"584","M313V","R&D","X2508W",5,4,7,6,6,7,NA,48005,0
"585","V823M","R&D","X8503X",5,3,6,7,6,4,NA,49314,2
"586","C744S","R&D","X8503X",1,2,3,2,2,3,3,47198,4
"587","N287M","R&D","X2508W",3,1,5,5,5,3,2,57420,6
"588","T389Y","DSI","Y7924Z",2,3,3,4,4,5,5,55050,2
"589","R766K","Finance","Z5440X",5,2,7,7,7,4,NA,76289,10
"590","O397I","R&D","V4203Y",4,3,6,5,6,4,5,52808,2
"591","U622G","Health","V3988Z",2,5,3,4,4,7,6,55243,5
"592","D615H","Finance","Z5080X",4,5,5,6,5,7,7,68088,8
"593","A403N","R&D","X8503X",5,4,7,5,7,6,NA,126486,9
"594","Y969S","R&D","W6837Y",5,5,6,6,7,7,6,100518,5
"595","Z700B","R&D","W6837Y",5,4,6,6,7,5,7,133461,5
"596","W239O","Finance","Z4040W",2,2,3,3,4,4,NA,65307,8
"597","H318F","Ethics","V1748V",3,4,4,5,4,6,6,54632,2
"598","J634C","R&D","V4859W",5,1,7,6,7,3,3,76305,10
"599","V317Y","DSI","I511L",4,2,6,5,5,4,2,80059,6
"600","V905Z","Ethics","V5401Z",2,1,3,4,3,3,3,76368,10
"601","A616S","Ethics","V5401Z",5,1,5,6,6,3,2,46212,0
"602","X315J","DSI","Y7924Z",3,5,4,4,4,6,6,57122,6
"603","L146P","Health","X3361V",5,5,5,7,6,7,6,71116,3
"604","J480F","R&D","V4203Y",4,2,7,5,5,4,5,49647,1
"605","E663T","Finance","Z4040W",1,5,3,3,2,7,5,69068,8
"606","O764B","Finance","Z5080X",2,3,3,4,2,4,NA,53623,1
"607","X209H","R&D","X8503X",2,3,3,2,3,4,4,46690,6
"608","Q604B","Finance","Z5080X",2,1,3,4,3,3,2,56129,6
"609","S592K","Finance","V1626X",3,1,4,5,4,2,2,139590,10
"610","J901C","R&D","X8503X",4,4,6,5,4,5,NA,46025,6
"611","U847S","Health","X3361V",1,1,2,2,3,2,3,58645,6
"612","R197Z","Finance","Z5440X",3,4,5,5,4,4,6,124871,0
"613","T902Q","Finance","W7052V",2,1,4,3,3,2,2,78980,1
"614","V848I","Health","Y9874X",2,5,4,3,4,6,7,45977,2
"615","W337Z","Ethics","W4935V",3,5,4,4,5,6,6,149225,8
"616","R584O","Ethics","V1748V",1,3,2,3,2,4,5,55113,7
"617","Z252O","R&D","X8503X",2,4,4,3,4,6,6,53566,6
"618","I446A","Finance","Z5440X",3,4,5,5,5,5,6,45287,3
"619","V941L","Health","V3988Z",1,3,2,2,2,5,5,86761,1
"620","S612R","R&D","W6837Y",1,3,3,3,3,5,4,127623,10
"621","Z284T","R&D","W6837Y",2,4,5,4,3,6,NA,141365,3
"622","V914O","DSI","I511L",3,3,4,5,5,4,2,46089,6
"623","G507G","Finance","W7052V",3,5,5,4,4,7,7,139168,8
"624","V487G","R&D","X8503X",1,3,2,2,2,4,6,133565,4
"625","L992K","Finance","Z5440X",5,4,6,6,7,6,6,49821,3
"626","J406P","R&D","V4859W",5,3,7,7,6,5,NA,48795,5
"627","I295E","R&D","X2508W",1,4,2,3,2,5,5,79894,10
"628","M510G","Ethics","W4935V",5,2,7,7,6,4,3,119835,7
"629","O822Z","Finance","Z5440X",4,4,5,4,5,5,6,77611,2
"630","U203U","Health","Y9874X",4,4,5,6,6,5,NA,79176,10
"631","S708T","R&D","V4859W",5,5,7,7,7,7,NA,90316,5
"632","U638H","Ethics","V5401Z",4,1,5,5,5,3,3,76795,9
"633","F689U","R&D","V4859W",1,5,3,3,2,7,7,57569,2
"634","F954M","R&D","X8503X",5,1,6,6,6,3,2,163800,8
"635","A930S","Finance","Z5440X",3,4,4,5,4,5,NA,49722,0
"636","I386F","R&D","W6837Y",2,5,3,4,3,7,7,51520,6
"637","Z574S","R&D","W6837Y",5,4,7,7,6,6,NA,76502,1
"638","R769R","R&D","X2508W",5,5,7,6,7,7,NA,74095,9
"639","R610M","R&D","V4203Y",2,5,3,4,3,7,6,52592,4
"640","E955K","R&D","W6837Y",4,4,6,6,6,6,4,53470,4
"641","Y575Z","Ethics","V1748V",1,2,2,3,3,4,5,68713,9
"642","X128H","R&D","V4203Y",3,3,5,5,4,4,4,69282,1
"643","C980G","Finance","W7052V",4,3,5,5,6,4,4,62693,5
"644","V486R","R&D","W6837Y",2,4,3,3,5,6,6,122508,7
"645","N167P","Ethics","W4935V",1,4,3,3,2,5,6,129558,6
"646","R751W","Ethics","W4935V",4,2,5,5,6,3,3,102873,5
"647","G213Q","R&D","W6837Y",1,2,3,2,2,3,4,53458,4
"648","H708N","Finance","Z4040W",2,5,3,3,4,7,NA,54098,0
"649","Y600R","R&D","X2508W",3,5,4,4,5,7,7,83667,9
"650","Q897K","Finance","Z5080X",1,4,3,2,3,5,5,114067,8
"651","H174N","R&D","V4859W",5,3,7,6,6,5,NA,52211,5
"652","P196L","R&D","X2508W",5,2,5,6,7,3,3,54775,5
"653","L701P","Health","Y9874X",5,2,6,6,6,3,4,56182,2
"654","W682I","Health","Y9874X",1,1,2,2,3,3,3,86267,4
"655","Y836O","R&D","V4203Y",4,1,5,5,6,3,2,55998,3
"656","X664E","Ethics","W4935V",2,3,3,4,4,4,NA,118879,1
"657","O958Z","Finance","Z5440X",2,1,3,4,3,3,2,48981,3
"658","I254O","Health","V3988Z",5,2,7,6,7,4,NA,55146,4
"659","J903O","Finance","W7052V",2,4,3,4,3,5,5,45319,0
"660","Z385P","R&D","V4859W",1,3,3,4,3,5,5,54212,3
"661","Y405Z","Health","Y9874X",2,3,5,3,3,5,5,52753,5
"662","L925K","Finance","Z4040W",5,2,6,7,7,3,NA,47363,4
"663","J507L","R&D","X8503X",4,4,6,5,5,6,NA,59675,5
"664","H842L","Finance","W7052V",3,4,4,4,4,6,5,91723,6
"665","I921D","Finance","Z5440X",2,4,4,4,4,5,5,51834,2
"666","V210L","R&D","X8503X",4,3,6,5,5,4,5,91262,1
"667","J132Q","Health","Y9874X",2,4,4,4,4,6,6,50924,5
"668","X353D","R&D","V4203Y",1,3,3,2,2,5,5,67737,10
"669","O400D","DSI","Y7924Z",2,5,3,2,4,6,6,58338,4
"670","X944Y","Finance","Z5440X",3,1,5,5,5,3,3,54895,2
"671","R519Z","Finance","V1626X",4,2,6,5,6,4,4,55269,7
"672","P472Q","R&D","X8503X",2,3,3,3,4,5,4,49991,3
"673","N938E","R&D","V4859W",5,2,6,6,6,3,NA,121842,7
"674","K680Y","Finance","Z5440X",5,4,6,7,7,5,NA,78312,8
"675","N506L","Finance","W7052V",4,4,5,5,5,5,NA,76921,9
"676","G313V","R&D","X8503X",1,4,2,3,3,5,6,56148,4
"677","Y986L","Finance","W7052V",3,1,4,5,4,2,3,59154,2
"678","O128W","Finance","W7052V",5,5,6,7,6,7,6,54151,1
"679","S631T","Finance","Z4040W",5,5,6,6,6,6,NA,80837,8
"680","P438Y","R&D","W6837Y",2,2,3,3,4,3,3,68679,8
"681","K519M","Finance","Z5080X",3,1,5,4,4,3,4,79651,9
"682","D761Y","R&D","X2508W",1,1,2,3,2,3,3,50380,2
"683","V608L","Ethics","V5401Z",1,4,2,2,1,6,6,50393,1
"684","G302C","Health","Y9874X",1,5,2,3,3,7,6,73088,9
"685","F429V","Health","Y9874X",3,3,4,4,5,4,4,93712,4
"686","I878F","R&D","X2508W",1,1,2,2,2,3,2,63142,9
"687","C835C","R&D","V4203Y",3,4,5,5,5,6,6,48056,2
"688","T228K","Finance","W7052V",2,4,3,3,4,5,6,87713,1
"689","F549L","Health","Y9874X",5,2,7,7,6,3,4,109750,9
"690","Q189W","Finance","Z4040W",1,3,3,2,3,5,5,54907,1
"691","Y469R","Health","V3988Z",4,2,6,6,6,3,3,47302,5
"692","I324A","R&D","X8503X",3,1,4,5,5,3,2,108006,8
"693","R784F","R&D","W6837Y",2,2,4,3,4,4,4,102147,9
"694","D290M","Finance","Z4040W",5,5,7,6,6,6,7,48754,0
"695","O290E","Ethics","V1748V",5,2,7,7,7,4,4,63517,10
"696","N797M","R&D","V4203Y",2,5,4,3,3,6,7,54094,2
"697","J557O","Ethics","V5401Z",4,2,5,5,5,4,3,70314,6
"698","K325O","DSI","Y7924Z",4,5,6,6,6,6,7,50884,2
"699","E637M","R&D","X8503X",5,1,6,7,6,2,2,70606,9
"700","M935Y","R&D","V4859W",5,3,6,7,6,5,4,74455,8
"701","V520O","Finance","Z4040W",2,2,4,4,4,3,3,82428,9
"702","T496N","R&D","V4203Y",3,3,4,5,4,4,5,54341,7
"703","A552S","Ethics","V5401Z",4,1,5,5,4,2,2,104954,4
"704","N469D","Ethics","W4935V",3,2,3,4,4,3,4,53618,7
"705","D500E","R&D","X8503X",5,1,7,7,7,3,3,95137,5
"706","R529O","Ethics","V5401Z",4,1,6,4,5,2,2,89558,5
"707","Z196I","Ethics","W4935V",5,5,6,7,6,7,NA,47354,6
"708","B821E","R&D","V4859W",3,2,4,5,5,3,5,51124,1
"709","N363K","Finance","V1626X",3,2,4,4,4,4,3,115540,7
"710","T266C","R&D","X2508W",2,5,3,4,4,6,6,147547,7
"711","Z652F","Finance","Z5080X",2,2,3,3,4,4,3,51583,3
"712","S452P","R&D","V4859W",5,4,7,6,7,6,NA,53629,6
"713","R107Y","Finance","V1626X",1,1,3,2,3,3,2,51586,5
"714","S603F","R&D","V4203Y",1,5,3,2,2,6,7,150140,8
"715","G200J","Ethics","V1748V",4,3,5,5,6,5,5,46861,7
"716","B875T","Health","Y9874X",1,3,2,3,2,4,4,134443,5
"717","G114C","Finance","W7052V",1,2,2,3,3,4,4,97244,8
"718","X629K","Finance","Z4040W",4,2,5,6,6,3,4,75018,7
"719","F895T","R&D","W6837Y",2,2,3,3,3,4,3,54952,3
"720","P675X","Finance","W7052V",1,2,2,3,3,3,4,53650,2
"721","T607C","Ethics","V5401Z",4,5,6,5,6,7,6,79129,9
"722","X495O","Finance","W7052V",3,3,4,4,5,4,NA,45254,6
"723","J208L","R&D","X8503X",1,3,3,2,3,5,4,58782,2
"724","D707L","DSI","Y7924Z",3,5,4,5,4,7,7,63042,8
"725","O715Z","Finance","W7052V",1,2,3,2,2,4,3,111903,8
"726","X951N","Finance","Z5080X",5,4,7,6,7,5,NA,74789,10
"727","T777Y","Finance","Z5080X",5,3,6,6,7,5,4,137550,2
"728","Z496N","R&D","V4203Y",4,1,5,5,5,1,3,136965,1
"729","P607N","Health","V3988Z",2,5,3,3,3,7,6,85462,10
"730","A202Q","R&D","X2508W",1,2,3,2,2,3,3,53674,1
"731","T957P","Health","V3988Z",2,2,3,3,4,3,4,46062,5
"732","D270L","Health","X3361V",1,5,3,2,4,7,7,53151,5
"733","H726I","Finance","W7052V",3,1,4,5,6,2,NA,73312,7
"734","N273J","R&D","V4859W",1,5,3,3,3,7,6,71194,10
"735","M528D","Finance","W7052V",3,2,4,4,5,3,3,64808,10
"736","K648Y","R&D","X2508W",5,5,7,7,7,6,7,54656,5
"737","A408R","R&D","X8503X",4,2,6,5,5,3,4,48306,5
"738","D633O","DSI","Y7924Z",4,1,6,6,5,2,3,62893,6
"739","I323L","Ethics","V1748V",3,4,4,4,5,5,5,66258,10
"740","W423W","Finance","Z5440X",1,5,2,2,2,7,7,68581,10
"741","O338W","Health","X3361V",5,1,7,7,7,1,2,52122,5
"742","Y943V","Health","X3361V",3,2,4,4,4,3,4,58180,0
"743","T362O","Ethics","V1748V",4,5,6,6,6,6,7,54679,0
"744","Y140P","DSI","Y7924Z",1,3,3,3,2,5,5,48627,4
"745","S657W","Finance","V1626X",4,4,6,5,6,6,5,56574,7
"746","P172J","Health","V3988Z",1,3,3,2,3,5,5,133981,5
"747","J914O","Ethics","W4935V",1,1,2,3,2,3,2,48073,6
"748","J618D","Health","V3988Z",3,4,5,5,4,5,6,56175,7
"749","L413S","Ethics","V5401Z",2,1,3,4,4,2,2,114440,6
"750","P376G","Health","Y9874X",2,3,4,3,3,5,4,71036,5
"751","N837H","Finance","Z4040W",3,2,4,5,4,3,3,73684,10
"752","J970B","R&D","V4203Y",1,4,2,2,3,5,5,52788,0
"753","D176V","Ethics","W4935V",2,5,4,2,4,7,6,127370,5
"754","D634V","R&D","V4859W",1,2,3,3,3,3,4,92455,8
"755","F312Z","Ethics","W4935V",1,1,2,2,2,1,3,155493,9
"756","F532S","R&D","W6837Y",4,4,5,4,6,6,6,53775,4
"757","C772D","Finance","Z5080X",2,1,4,4,3,3,2,47303,3
"758","C962T","R&D","X8503X",1,5,2,3,2,6,7,132088,0
"759","U906M","Health","Y9874X",1,2,3,3,3,4,4,57963,2
"760","H870Q","R&D","W6837Y",3,2,5,5,4,4,4,53468,4
"761","S589D","Finance","W7052V",3,5,5,4,4,7,NA,82721,5
"762","E654V","R&D","X8503X",5,2,7,7,6,4,4,80474,9
"763","R522G","Finance","Z5440X",4,1,6,6,6,4,3,99939,8
"764","Z287T","R&D","V4203Y",5,3,7,7,6,5,4,73193,9
"765","A788E","R&D","X8503X",2,5,3,4,3,5,7,70103,9
"766","Y647U","Finance","Z5440X",2,4,3,3,4,5,NA,58028,3
"767","D357I","Ethics","V5401Z",4,1,6,6,5,3,3,68821,10
"768","Z481P","Health","Y9874X",1,4,2,3,3,5,6,45696,0
"769","D847G","Finance","Z5440X",4,2,6,5,5,3,4,53895,0
"770","M297B","R&D","W6837Y",4,3,5,5,6,5,4,132823,10
