"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY","describeManager"
"337","X249Q","Finance","V1626X",1,2,2,2,3,4,4,103037,0,36,2,3,2,"c(""brilliant"", ""resolvable"", ""divine"", ""free"", ""darling"")"
"338","W641D","R&D","V4859W",3,2,4,3,5,4,4,62564,8,45,1,1,2,"c(""valuable"", ""jollier"", ""worshipful"", ""jolly"", ""novel"")"
"339","F166T","Finance","W7052V",3,5,4,4,4,6,7,71922,10,52,1,2,2,"c(""positive"", ""worthwhile"", ""freest"", ""sunnier"", ""superior"")"
"340","V221D","Finance","V1626X",4,2,6,6,6,5,NA,75923,9,24,2,2,2,"c(""prepared"", ""radiant"", ""benignant"", ""safe"", ""favorite"")"
"341","K230P","Ethics","V5401Z",1,3,3,3,3,4,5,50036,6,35,1,1,1,"c(""splendiferous"", ""innovative"", ""supporting"", ""ambitious"", ""immortal"")"
"342","C342A","R&D","X2508W",2,1,3,3,3,3,3,59436,1,43,1,2,1,"c(""honour"", ""bold"", ""perfective"", ""well"", ""glad"")"
"343","M650E","Ethics","W4935V",1,1,2,3,2,3,3,109110,7,38,2,3,2,"c(""freer"", ""gallant"", ""cutest"", ""intact"", ""substantial"")"
"344","P439N","R&D","V4859W",1,5,2,3,2,7,7,46058,3,34,1,1,2,"c(""friended"", ""accomplished"", ""pukka"", ""whimsical"", ""amazing"")"
"345","H645X","Ethics","W4935V",3,3,4,4,4,4,4,52097,2,38,1,1,2,"c(""buoyant"", ""useful"", ""favored"", ""worshipful"", ""promising"")"
"346","W870N","R&D","X8503X",1,3,3,3,2,4,5,131911,0,52,1,3,2,"c(""perfect"", ""isolationism"", ""indestructible"", ""cheeriest"", ""healthy"")"
"347","S119E","Health","X3361V",2,1,3,3,3,3,2,144550,1,29,1,3,2,"c(""original"", ""complimentary"", ""tenderhearted"", ""stealthiest"", ""daredevil"")"
"348","M367Q","Finance","W7052V",3,3,4,5,4,5,4,124853,2,40,2,3,2,"c(""amusing"", ""heavenward"", ""laughing"", ""pleasurable"", ""appreciatory"")"
"349","H796O","Health","X3361V",4,3,6,5,5,4,5,73575,9,30,2,1,1,"c(""desirable"", ""better"", ""blissful"", ""favored"", ""affectionate"")"
"350","R930N","Finance","Z5080X",3,2,4,4,4,4,4,145618,7,42,1,3,2,"c(""harmonious"", ""adorable"", ""alert"", ""devoted"", ""beautiful"")"
"351","K253X","Finance","V1626X",3,1,5,4,5,3,2,46917,2,53,1,1,2,"c(""amazed"", ""gorgeous"", ""celebrated"", ""blissful"", ""special"")"
"352","H706V","Health","V3988Z",1,4,3,2,3,6,6,128930,10,28,2,3,1,"c(""interesting"", ""truer"", ""awesome"", ""freehand"", ""perfectionistic"")"
"353","V549Z","Health","Y9874X",1,2,2,2,2,3,4,53759,6,45,1,2,2,"c(""boldface"", ""optimal"", ""passive"", ""desirable"", ""grateful"")"
"354","T795R","Finance","V1626X",2,5,4,4,4,7,NA,54201,7,49,1,2,1,"c(""grand"", ""luckiest"", ""enthusiastic"", ""impressionistic"", ""cheery"")"
"355","U558M","Ethics","W4935V",5,1,6,7,6,3,NA,58497,5,23,1,2,2,"c(""thankful"", ""astounding"", ""fortunate"", ""invulnerable"", ""delighted"")"
"356","S277X","R&D","X2508W",2,3,3,3,3,5,5,73439,8,32,2,2,1,"c(""marvelous"", ""brilliant"", ""smarty"", ""meritorious"", ""delightsome"")"
"357","I170Y","Finance","Z5440X",3,3,5,4,5,4,3,91694,10,34,1,3,2,"c(""lovable"", ""surprising"", ""inviting"", ""resolute"", ""jollier"")"
"358","H310D","Finance","Z5440X",5,5,7,6,6,7,7,142179,2,25,1,3,2,"c(""gracile"", ""pukka"", ""dynamometric"", ""satisfiable"", ""engaging"")"
"359","J365V","Finance","Z4040W",5,4,7,6,6,5,NA,68274,10,55,1,1,2,"c(""awesome"", ""merrier"", ""creative"", ""strongish"", ""competent"")"
"360","W214V","R&D","W6837Y",2,4,3,4,4,5,5,51717,1,35,2,1,1,"c(""strong"", ""amused"", ""sincere"", ""dear"", ""brilliant"")"
"361","W705X","Finance","Z5440X",5,5,7,7,7,6,NA,53898,0,54,1,1,2,"c(""dedicated"", ""stout"", ""complimentary"", ""freethinking"", ""united"")"
"362","U986G","R&D","W6837Y",4,1,5,6,6,2,3,49978,2,40,1,1,2,"c(""complimentary"", ""happier"", ""dedicated"", ""affectionate"", ""neat"")"
"363","F721F","Finance","Z5440X",5,3,6,6,6,5,5,57910,7,32,2,2,1,"c(""useful"", ""promissory"", ""dynamic"", ""determinate"", ""perfect"")"
"364","O384N","DSI","Y7924Z",2,2,4,4,3,4,3,74181,8,23,2,1,2,"c(""handsomest"", ""entertaining"", ""devoted"", ""cutest"", ""darling"")"
"365","P652W","Finance","Z5080X",4,2,6,5,6,4,3,119360,8,23,2,3,1,"c(""natural"", ""tensionless"", ""successive"", ""handsome"", ""beneficent"")"
"366","L324S","R&D","W6837Y",3,5,4,5,5,7,6,57640,7,47,1,2,2,"c(""adventuresome"", ""fab"", ""fearless"", ""contestable"", ""pleasurable"")"
"367","P553D","R&D","W6837Y",1,1,2,3,2,2,2,57181,4,23,1,2,2,"c(""ambitious"", ""delighted"", ""beneficent"", ""prosperous"", ""courageous"")"
"368","F733Q","R&D","X8503X",3,1,4,4,5,2,3,47412,6,22,1,1,2,"c(""charitable"", ""wealthiest"", ""romance"", ""gentle"", ""tolerant"")"
"369","D763U","Finance","Z4040W",4,2,5,6,5,3,3,48617,6,39,1,1,2,"c(""beneficiary"", ""jollier"", ""comedic"", ""remarkable"", ""well"")"
"370","W651T","Finance","V1626X",3,4,5,4,5,5,5,71418,8,24,2,1,2,"c(""steadfast"", ""casual"", ""passionate"", ""invulnerable"", ""isolationism"")"
"371","M576F","R&D","W6837Y",5,3,7,7,7,4,4,104702,4,39,2,3,2,"c(""achievable"", ""novel"", ""magnific"", ""amusable"", ""gracious"")"
"372","D648U","Finance","V1626X",5,5,7,7,7,7,NA,145238,2,35,1,3,2,"c(""giggliest"", ""respectful"", ""ideal"", ""competent"", ""easygoing"")"
"373","N465K","Finance","Z4040W",4,1,5,5,6,3,2,107597,6,44,1,3,2,"c(""positive"", ""lovely"", ""unbelievable"", ""fervid"", ""urgent"")"
"374","B276K","R&D","W6837Y",1,1,3,2,2,2,2,47993,6,53,1,1,2,"c(""emotional"", ""resolute"", ""positivistic"", ""freehold"", ""wised"")"
"375","N348V","Finance","V1626X",3,2,5,4,3,4,3,46840,6,34,1,1,2,"c(""curious"", ""livelong"", ""sophisticated"", ""alive"", ""appreciatory"")"
"376","E344Y","Health","V3988Z",5,3,6,7,7,4,5,117421,4,35,2,3,2,"c(""energetic"", ""handsomest"", ""steadfast"", ""debonair"", ""terrific"")"
"377","H717I","R&D","V4859W",1,2,2,3,4,3,4,50080,0,47,1,1,1,"c(""beauteous"", ""outgoing"", ""indestructible"", ""courteous"", ""earnest"")"
"378","U931A","Ethics","V1748V",4,4,5,6,5,5,6,108406,3,39,2,3,2,"c(""adventurous"", ""beatific"", ""responsible"", ""fascinating"", ""ready"")"
"379","J614G","Finance","Z4040W",4,5,6,6,5,6,6,52656,5,52,2,1,2,"c(""debonair"", ""challenging"", ""endorsed"", ""acceptable"", ""satisfied"")"
"380","E129K","R&D","X2508W",3,2,4,5,5,3,4,68785,9,31,1,1,2,"c(""freestanding"", ""blameless"", ""innocent"", ""resolvable"", ""whimsical"")"
"381","Z777O","Finance","Z4040W",2,3,3,3,3,4,5,53739,7,28,2,2,2,"c(""speculative"", ""romance"", ""prominent"", ""daring"", ""freewill"")"
"382","B339G","Finance","Z5080X",2,2,3,4,4,4,4,142444,2,35,2,3,1,"c(""boldface"", ""swift"", ""rich"", ""appreciatory"", ""tenderhearted"")"
"383","S442B","R&D","V4203Y",1,4,3,2,3,4,7,49804,7,55,1,1,2,"c(""wonderful"", ""zealous"", ""freewill"", ""complimentary"", ""inspirational"")"
"384","H392G","R&D","W6837Y",3,2,5,4,5,3,3,64486,9,51,1,1,2,"c(""clear"", ""splendent"", ""respectable"", ""innovative"", ""friendliest"")"
"385","I408K","Health","Y9874X",5,4,6,7,6,6,7,59514,3,34,1,2,1,"c(""invincible"", ""supporting"", ""glad"", ""cutest"", ""ideal"")"
"386","Q106E","R&D","W6837Y",1,5,3,3,2,7,6,111713,6,49,2,3,2,"c(""comedic"", ""determinate"", ""assured"", ""shockproof"", ""blithe"")"
"387","Q521Y","Finance","V1626X",4,4,5,5,7,6,6,79125,9,53,1,2,1,"c(""libertarian"", ""huggable"", ""ideal"", ""doubtless"", ""treasurable"")"
"388","N560X","R&D","X2508W",4,3,6,6,6,4,NA,72663,8,46,1,2,2,"c(""meaningful"", ""positivistic"", ""trustful"", ""vigoroso"", ""wise"")"
"389","Z950U","Ethics","V5401Z",5,2,6,6,7,4,3,75604,10,32,1,1,2,"c(""greatest"", ""pressureless"", ""promising"", ""substantial"", ""free"")"
"390","I203G","R&D","X2508W",5,2,6,7,7,4,NA,92595,6,46,1,3,2,"c(""earnest"", ""wise"", ""relaxer"", ""methodical"", ""united"")"
"391","J301A","Finance","V1626X",1,4,3,4,3,6,5,55821,1,24,1,2,1,"c(""dynamitic"", ""perfectible"", ""intelligent"", ""alive"", ""sympathetic"")"
"392","S976W","R&D","V4859W",1,3,2,2,2,5,4,70863,10,23,2,1,2,"c(""favored"", ""convivial"", ""competitive"", ""determined"", ""consolable"")"
"393","S741W","Health","Y9874X",4,5,6,5,6,7,NA,76718,10,30,1,2,2,"c(""adequate"", ""ready"", ""keen"", ""wonderful"", ""honorary"")"
"394","V173U","R&D","V4859W",3,2,5,5,5,4,3,53936,4,22,2,1,2,"c(""inviting"", ""harmless"", ""idealist"", ""impressionistic"", ""amazing"")"
"395","E420J","Finance","Z5080X",3,3,4,5,5,5,4,72330,9,34,1,1,2,"c(""advantageous"", ""superior"", ""compassionate"", ""jolly"", ""cheerful"")"
"396","E568T","R&D","X2508W",5,4,6,6,7,5,6,47118,6,48,1,1,1,"c(""original"", ""cheeriest"", ""satisfactory"", ""amoroso"", ""pleasurable"")"
"397","H446H","Finance","Z5440X",5,4,6,7,7,5,NA,77496,9,44,1,2,2,"c(""worshipful"", ""respectful"", ""brisk"", ""wellborn"", ""stout"")"
"398","Q861G","Finance","Z4040W",2,1,3,3,4,2,3,46994,7,35,1,1,2,"c(""virtuous"", ""gracile"", ""charitable"", ""fabulous"", ""surer"")"
"399","R762S","Health","X3361V",4,2,5,6,6,4,2,51057,7,45,2,1,2,"c(""strongish"", ""sentimental"", ""isolationism"", ""robust"", ""perfectionistic"")"
"400","A978J","Ethics","V1748V",3,1,4,5,5,2,2,61500,10,51,1,1,1,"c(""creditable"", ""accepted"", ""surest"", ""champy"", ""giggly"")"
"401","I713I","R&D","V4203Y",3,1,4,4,5,2,2,122121,10,29,2,3,2,"c(""delighted"", ""trustful"", ""calm"", ""pleasing"", ""special"")"
"402","F432U","R&D","W6837Y",3,5,5,5,5,6,NA,79980,8,24,2,2,1,"c(""boldface"", ""creditable"", ""cool"", ""funniest"", ""isolationism"")"
"403","A544C","Finance","Z5080X",2,2,5,3,4,3,4,54579,6,26,2,2,2,"c(""grand"", ""secure"", ""dedicated"", ""carefree"", ""novel"")"
"404","D482S","R&D","V4203Y",1,5,3,2,2,6,5,159917,8,39,1,3,2,"c(""brave"", ""worth"", ""contestable"", ""lively"", ""impressive"")"
"405","X815X","Ethics","V1748V",2,2,3,4,3,4,3,53976,5,44,2,2,2,"c(""feeling"", ""ardent"", ""livelong"", ""humorous"", ""merriest"")"
"406","T610X","Health","V3988Z",3,4,5,5,5,6,6,59095,6,48,1,2,1,"c(""luckiest"", ""triumphant"", ""wise"", ""meaningful"", ""cheery"")"
"407","C265B","R&D","W6837Y",2,1,4,3,4,2,4,53500,6,24,1,1,2,"c(""beaut"", ""cheerful"", ""marvelous"", ""livelong"", ""harmonic"")"
"408","Z993Y","R&D","V4859W",5,1,7,6,7,3,3,66052,8,26,1,1,2,"c(""delectable"", ""salient"", ""romance"", ""advanced"", ""great"")"
"409","L470Y","R&D","V4859W",4,5,5,5,6,5,7,164291,9,51,1,3,2,"c(""impressible"", ""promising"", ""restful"", ""flawless"", ""radiant"")"
"410","S287M","R&D","V4203Y",2,1,4,4,4,3,NA,64108,2,28,1,3,2,"c(""luckier"", ""truer"", ""invincible"", ""champy"", ""gentlest"")"
"411","E458N","Finance","Z4040W",3,3,5,5,5,4,4,123991,0,41,2,3,2,"c(""unbelievable"", ""frisky"", ""acceptant"", ""special"", ""brave"")"
"412","P743P","Finance","W7052V",3,2,4,4,5,4,3,65289,8,40,1,1,2,"c(""jocular"", ""wealthier"", ""hurtless"", ""festive"", ""idealistic"")"
"413","D763M","DSI","I511L",1,1,2,2,2,3,0,53056,7,22,1,2,2,"c(""undesirable"", ""savage"", ""helpless"", ""ill"", ""haunted"")"
"414","C435H","Ethics","W4935V",3,1,4,4,4,3,3,48388,5,52,1,1,2,"c(""daredevil"", ""loving"", ""irresistible"", ""gentlest"", ""excited"")"
"415","Q745K","Finance","Z5080X",4,2,5,5,6,3,3,49865,2,29,2,1,1,"c(""peacemaking"", ""greater"", ""breathtaking"", ""determinable"", ""cutest"")"
"416","K619Y","R&D","X2508W",1,4,2,3,2,5,5,55312,0,40,2,2,2,"c(""funny"", ""dynamistic"", ""clean"", ""heartwarming"", ""engaging"")"
"417","U662D","R&D","V4203Y",5,4,6,6,6,6,5,50991,5,46,1,1,2,"c(""competent"", ""prettied"", ""supporting"", ""idealist"", ""fab"")"
"418","N668B","R&D","X2508W",2,4,4,3,3,6,6,54406,1,41,2,1,1,"c(""entertaining"", ""livelong"", ""impressionistic"", ""surest"", ""mandatory"")"
"419","G874D","R&D","V4859W",5,5,7,6,7,6,NA,78222,10,52,1,2,2,"c(""earnest"", ""devoted"", ""beneficent"", ""wiser"", ""sympathetic"")"
"420","W685J","Finance","Z5440X",4,4,6,6,6,6,6,67739,4,23,1,3,2,"c(""benign"", ""outstanding"", ""intact"", ""influential"", ""perfect"")"
"421","K432F","R&D","V4203Y",5,4,7,6,6,5,6,57753,5,42,1,2,2,"c(""freebie"", ""respectful"", ""desired"", ""jubilant"", ""freer"")"
"422","A997G","R&D","X8503X",5,1,6,7,6,2,3,74194,0,39,1,3,2,"c(""innovative"", ""worth"", ""perfectible"", ""smug"", ""smart"")"
"423","T918L","Finance","Z5440X",3,1,4,5,5,2,2,54829,6,24,1,1,2,"c(""heroic"", ""steadfast"", ""prettiest"", ""generous"", ""fantastic"")"
"424","T184S","R&D","V4203Y",2,2,4,5,3,3,3,78919,10,27,1,2,1,"c(""giggly"", ""novel"", ""warmish"", ""salient"", ""grateful"")"
"425","V471N","DSI","Y7924Z",3,2,4,5,4,3,NA,48902,2,24,1,1,1,"c(""appreciatory"", ""kind"", ""fearless"", ""freestanding"", ""humorous"")"
"426","B721P","Finance","W7052V",5,1,7,6,6,3,NA,51345,0,40,1,1,2,"c(""valuable"", ""prepared"", ""harmonious"", ""respective"", ""comfortable"")"
"427","D296R","Ethics","W4935V",1,1,2,2,2,2,3,64543,10,44,1,1,2,"c(""magnific"", ""vigilant"", ""freethinking"", ""nifty"", ""freer"")"
"428","D297I","R&D","W6837Y",3,1,5,4,5,2,2,125261,9,36,1,3,2,"c(""handsomest"", ""devoted"", ""intact"", ""impressible"", ""funny"")"
"429","X873K","DSI","I511L",4,1,5,5,5,3,1,68884,3,27,2,3,2,"c(""despairing"", ""bully"", ""contentious"", ""cowardly"", ""cancer"")"
"430","T958X","Ethics","V5401Z",3,1,5,5,4,3,2,55401,1,41,1,2,1,"c(""intricate"", ""charming"", ""harmless"", ""helpful"", ""troubleshooter"")"
"431","Y850S","R&D","X8503X",4,2,4,6,5,4,NA,49989,7,42,1,1,2,"c(""jolliest"", ""resolved"", ""opportune"", ""positivism"", ""jubilant"")"
"432","R351T","R&D","W6837Y",2,3,3,3,4,4,5,55778,1,39,1,2,2,"c(""party"", ""avid"", ""triumphal"", ""complimentary"", ""passional"")"
"433","C554V","R&D","V4859W",3,4,5,4,4,6,NA,94293,8,48,2,3,2,"c(""praiseworthy"", ""mature"", ""relaxant"", ""kissable"", ""entertaining"")"
"434","G733T","Health","X3361V",1,2,3,2,2,3,3,51237,3,50,1,1,1,"c(""perfective"", ""virtuosic"", ""trustful"", ""amortizable"", ""intelligent"")"
"435","V940Z","Finance","W7052V",2,2,3,4,4,4,3,131002,3,38,2,3,1,"c(""merrier"", ""wealthiest"", ""supreme"", ""cuter"", ""sunnier"")"
"436","Z378U","R&D","X8503X",1,3,3,2,3,4,4,146911,6,24,1,3,2,"c(""earnest"", ""wealthier"", ""adventurous"", ""greatest"", ""youthful"")"
"437","N674Z","R&D","V4203Y",2,5,3,4,4,7,6,53125,6,38,2,2,2,"c(""fearless"", ""profitable"", ""picturesque"", ""easy"", ""hopeful"")"
"438","R300F","R&D","V4859W",3,3,5,5,5,4,5,51906,3,31,1,1,2,"c(""inspirational"", ""remarkable"", ""complimentary"", ""divine"", ""surer"")"
"439","B299D","Finance","W7052V",3,1,4,5,5,2,2,59710,3,23,2,2,2,"c(""interesting"", ""huggable"", ""splendid"", ""benignant"", ""youthful"")"
"440","P541B","Ethics","W4935V",1,2,2,3,3,5,3,45449,6,26,2,1,2,"c(""winning"", ""worth"", ""exuberant"", ""assured"", ""earnest"")"
"441","R293J","R&D","V4203Y",5,3,7,6,6,4,5,76271,9,23,2,2,2,"c(""swift"", ""sincere"", ""ideal"", ""bold"", ""freer"")"
"442","T353E","Health","Y9874X",4,5,5,7,5,6,NA,53824,0,31,1,1,2,"c(""united"", ""desired"", ""superb"", ""positivist"", ""methodical"")"
"443","M307W","Finance","Z5440X",3,2,4,4,4,3,4,78844,6,51,2,3,2,"c(""steadfast"", ""ardent"", ""sunshiny"", ""terrific"", ""cute"")"
"444","B423R","R&D","V4203Y",3,4,5,4,5,5,NA,75977,9,41,2,2,1,"c(""prettier"", ""determined"", ""sexy"", ""kind"", ""remarkable"")"
"445","V531P","R&D","X2508W",3,1,4,4,4,3,3,47647,1,42,1,1,2,"c(""handsomest"", ""helpful"", ""astounding"", ""affectional"", ""classy"")"
"446","K868X","Ethics","V5401Z",2,4,4,3,4,6,6,92582,10,43,2,3,2,"c(""praiseworthy"", ""stable"", ""noble"", ""freebie"", ""wised"")"
"447","O765M","R&D","V4203Y",2,1,4,4,3,2,3,142056,0,26,2,3,2,"c(""splendrous"", ""rewarding"", ""convincing"", ""benign"", ""wealthy"")"
"448","C674X","Ethics","V5401Z",2,3,4,3,4,5,4,77174,9,50,2,2,2,"c(""perfectionist"", ""numberable"", ""determined"", ""intellectualism"", ""giggliest"")"
"449","U539R","R&D","X8503X",2,4,3,3,4,5,5,72592,8,40,1,1,2,"c(""sentimental"", ""peculiar"", ""dynamitic"", ""steadfast"", ""successive"")"
"450","I295P","Finance","Z5440X",2,5,4,3,3,6,5,104677,8,38,2,3,1,"c(""medal"", ""strong"", ""jollier"", ""benign"", ""cute"")"
"451","U222I","Health","X3361V",3,5,5,5,4,6,7,133956,10,27,2,3,2,"c(""passionate"", ""delighted"", ""beautiful"", ""keen"", ""beauteous"")"
"452","H989X","Health","Y9874X",2,1,3,4,3,3,2,54943,4,50,2,2,2,"c(""friendlier"", ""competent"", ""fervent"", ""humoral"", ""praiseworthy"")"
"453","P102D","Finance","Z4040W",3,5,4,4,4,7,6,53568,3,48,2,1,1,"c(""thrilling"", ""sentimental"", ""assured"", ""fab"", ""positivist"")"
"454","A951M","R&D","X8503X",4,1,6,5,5,2,3,54606,6,43,1,1,2,"c(""tolerant"", ""favoured"", ""dynamic"", ""positivistic"", ""gentler"")"
"455","L142A","R&D","X8503X",3,1,5,4,6,2,NA,127082,10,39,1,3,2,"c(""wise"", ""friendliest"", ""handsome"", ""entertaining"", ""strong"")"
"456","H795B","Ethics","W4935V",4,4,6,6,6,6,6,86223,1,32,2,3,2,"c(""sunniest"", ""positivist"", ""cheerly"", ""benefic"", ""freestanding"")"
"457","X388A","R&D","X2508W",4,1,5,6,6,2,3,82062,9,50,1,2,2,"c(""merriest"", ""surprising"", ""dynamic"", ""superb"", ""fearless"")"
"458","O690Z","Finance","Z5440X",1,2,3,2,3,3,3,73283,9,42,2,2,2,"c(""heartfelt"", ""warm"", ""ethical"", ""impressionistic"", ""gracious"")"
"459","E712C","R&D","X2508W",1,1,3,3,3,3,2,58006,2,55,1,2,2,"c(""thoughtful"", ""laughing"", ""agreed"", ""complimentary"", ""peaceable"")"
"460","V831A","Finance","W7052V",1,3,3,2,2,4,5,54530,5,51,2,2,2,"c(""methodical"", ""splendiferous"", ""favorite"", ""desirable"", ""agreed"")"
"461","J251V","R&D","W6837Y",2,5,4,3,4,7,7,57987,7,53,2,2,2,"c(""merry"", ""efficient"", ""earnest"", ""dynamic"", ""competent"")"
"462","H288H","Ethics","W4935V",4,3,6,5,5,5,4,49789,4,25,1,1,2,"c(""flawless"", ""determinative"", ""intellective"", ""jaunty"", ""divine"")"
"463","A946V","Health","X3361V",4,5,5,6,5,6,NA,51816,1,55,1,1,2,"c(""intellective"", ""impressionistic"", ""supreme"", ""beloved"", ""interested"")"
"464","R916O","R&D","X8503X",1,2,2,2,3,4,4,56425,4,33,1,2,2,"c(""zealous"", ""engaged"", ""elated"", ""handsomest"", ""sunshiny"")"
"465","C708X","Finance","Z4040W",2,4,4,3,3,6,5,60393,2,55,2,3,1,"c(""worthwhile"", ""avid"", ""excitative"", ""easygoing"", ""robust"")"
"466","T721A","R&D","V4859W",2,4,4,3,3,5,5,53162,6,28,1,1,2,"c(""intellective"", ""determinable"", ""better"", ""reliant"", ""indestructible"")"
"467","X267K","R&D","X8503X",2,1,4,4,4,3,NA,54189,5,36,1,1,2,"c(""curious"", ""respective"", ""nifty"", ""ideal"", ""freewheeling"")"
"468","U118T","Finance","Z4040W",3,1,4,4,5,3,2,56120,2,44,1,2,2,"c(""cheerly"", ""free"", ""gorgeous"", ""lively"", ""cheeriest"")"
"469","O219K","R&D","V4859W",5,1,6,7,7,2,2,67910,10,42,2,1,1,"c(""sunny"", ""clever"", ""proud"", ""dear"", ""worthwhile"")"
"470","V288Z","Health","Y9874X",1,4,3,3,3,5,6,59980,1,50,1,2,2,"c(""darling"", ""foolproof"", ""guiltless"", ""fortunate"", ""lown"")"
"471","V367P","DSI","Y7924Z",2,5,3,3,4,7,NA,74898,10,23,1,2,2,"c(""freethinker"", ""consolable"", ""blameless"", ""bravest"", ""terrorless"")"
"472","Z846C","DSI","Y7924Z",3,5,5,4,5,6,NA,103663,6,50,2,3,2,"c(""dynamic"", ""jolliest"", ""active"", ""laughing"", ""freehand"")"
"473","G434G","Finance","V1626X",3,5,3,4,5,6,NA,148387,0,42,2,3,1,"c(""intelligential"", ""determinate"", ""vivacious"", ""competent"", ""acceptable"")"
"474","M499U","Ethics","V1748V",2,2,3,3,4,3,4,103910,3,23,2,3,2,"c(""prosperous"", ""vital"", ""delightful"", ""intellectual"", ""darling"")"
"475","I733Y","DSI","I511L",4,2,7,5,5,3,2,49758,3,23,2,1,1,"c(""grievous"", ""warning"", ""fatal"", ""unequal"", ""pained"")"
"476","I994O","Finance","Z5440X",2,3,3,3,4,5,4,68167,10,47,1,1,1,"c(""precious"", ""heartfelt"", ""complimentary"", ""faithful"", ""festive"")"
"477","M149V","R&D","W6837Y",4,4,5,5,5,5,5,79196,8,50,1,2,1,"c(""livelong"", ""intelligential"", ""ambitious"", ""merited"", ""affectionate"")"
"478","J977M","Finance","Z5080X",2,5,4,3,4,6,7,78979,8,45,1,2,2,"c(""freethinker"", ""influential"", ""pleasurable"", ""fantastic"", ""achievable"")"
"479","G724Y","Finance","Z5080X",2,4,3,3,4,5,6,98323,5,33,2,3,1,"c(""charming"", ""alive"", ""wiser"", ""prosperous"", ""inspiratory"")"
"480","Z841N","R&D","V4203Y",3,3,5,5,4,5,4,68551,7,34,2,3,2,"c(""beneficial"", ""accepted"", ""benevolent"", ""hurtless"", ""promising"")"
"481","Y465S","Finance","Z5080X",3,5,5,4,4,6,6,47605,7,53,1,1,2,"c(""hilarious"", ""agreeable"", ""funnier"", ""euphoric"", ""assured"")"
"482","K445U","Ethics","W4935V",5,3,6,7,6,5,5,69854,10,40,2,2,2,"c(""assurgent"", ""achievable"", ""clean"", ""steadfast"", ""cheerly"")"
"483","Y379Z","Health","Y9874X",4,2,5,5,6,3,4,160574,8,27,2,3,2,"c(""carefree"", ""amusable"", ""positivism"", ""competent"", ""useful"")"
"484","D889S","Ethics","V5401Z",4,2,5,5,5,3,NA,54445,2,37,1,2,2,"c(""healthy"", ""freehold"", ""handsome"", ""desirable"", ""champion"")"
"485","G673G","R&D","X2508W",2,3,3,5,3,4,4,57974,3,43,1,2,1,"c(""active"", ""thrilling"", ""kindly"", ""flirtatious"", ""energetic"")"
"486","L542S","Health","V3988Z",1,2,2,2,2,4,3,53238,4,45,1,2,2,"c(""intelligent"", ""good"", ""adventuresome"", ""compassionate"", ""optimal"")"
"487","K182T","Finance","Z5440X",3,1,4,5,6,3,2,80262,1,54,2,3,2,"c(""harmless"", ""marvelous"", ""smarty"", ""glad"", ""sweet"")"
"488","F233Y","Finance","Z5080X",2,5,4,4,3,7,7,54673,0,43,2,2,2,"c(""comedic"", ""convincing"", ""favorite"", ""calm"", ""convivial"")"
"489","S972H","Finance","Z4040W",3,3,4,4,4,5,NA,59540,2,37,2,2,2,"c(""vigoroso"", ""considerate"", ""acceptant"", ""virtuosic"", ""clear"")"
"490","N621M","Finance","Z5080X",4,4,6,5,6,5,6,70397,10,34,2,1,2,"c(""optimistic"", ""stealthiest"", ""euphoric"", ""exclusive"", ""spirited"")"
"491","V330R","Finance","Z4040W",1,4,3,2,3,5,NA,64402,4,34,2,3,2,"c(""salient"", ""blithe"", ""splendid"", ""flexible"", ""amazing"")"
"492","D579D","Finance","Z5080X",5,1,7,6,7,3,3,58382,0,53,1,2,2,"c(""festive"", ""superb"", ""gracile"", ""happier"", ""wealthiest"")"
"493","N999K","Finance","W7052V",3,5,4,4,5,6,NA,47645,6,45,2,1,2,"c(""optimistic"", ""merry"", ""determined"", ""treasurable"", ""terrorless"")"
"494","K270Q","Health","V3988Z",4,4,5,6,7,5,NA,56972,3,41,2,2,2,"c(""hurtless"", ""cheerier"", ""carefree"", ""healthy"", ""peculiar"")"
"495","J474E","Finance","Z4040W",3,2,5,5,5,3,4,46609,6,53,1,1,2,"c(""trustable"", ""mirthful"", ""inspirational"", ""huggable"", ""fascinating"")"
"496","C629K","Finance","Z5440X",5,4,6,6,7,6,5,87001,9,49,2,3,2,"c(""bold"", ""competitive"", ""smarty"", ""winnable"", ""beneficiary"")"
"497","G518S","Finance","W7052V",4,2,5,6,5,4,4,77099,8,28,1,2,2,"c(""funnelform"", ""confident"", ""vibrant"", ""surprising"", ""benevolent"")"
"498","F540N","Finance","W7052V",3,2,4,5,4,4,3,54752,5,38,1,2,2,"c(""adorable"", ""champertous"", ""happiest"", ""scrumptious"", ""well"")"
"499","Q410J","Health","X3361V",4,1,5,6,6,2,3,55650,1,40,2,2,2,"c(""kindly"", ""achievable"", ""responsive"", ""dynamic"", ""amusive"")"
"500","H377G","R&D","X8503X",1,2,2,3,3,3,4,53590,2,35,2,2,1,"c(""playful"", ""passional"", ""privileged"", ""vested"", ""wiser"")"
"501","E836Y","R&D","V4859W",5,5,7,7,7,6,NA,94158,4,26,2,3,1,"c(""easeful"", ""cuter"", ""appreciatory"", ""shockproof"", ""elegant"")"
