"id"|"team"|"manager"|"jobTasksSDSA"|"jobBalanceSDSA"|"jobPaySDSA"|"jobRecognitionSDSA"|"jobAdvancementSDSA"|"jobCoworkersSDSA"|"jobManagementSDSA"|"salary"|"tenure"
"227"|"K127L"|"Health"|"V7487V"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"89527"|"3"
"228"|"G250P"|"R&D"|"X3607X"|"2"|"5"|"3"|"3"|"3"|"6"|"6"|"75444"|"10"
"229"|"D239W"|"Health"|"V7487V"|"5"|"5"|"7"|"6"|"7"|"6"|NA|"77454"|"10"
"230"|"N753B"|"Finance"|"Y9641W"|"2"|"2"|"3"|"3"|"3"|"4"|NA|"53849"|"0"
"231"|"P558D"|"Finance"|"Y4468Y"|"1"|"1"|"3"|"2"|"2"|"2"|"3"|"51348"|"3"
"232"|"P604S"|"Health"|"Z4101Z"|"1"|"4"|"3"|"1"|"3"|"5"|"6"|"54477"|"3"
"233"|"N714I"|"Health"|"Z4101Z"|"7"|"5"|"7"|"7"|"7"|"6"|NA|"73512"|"8"
"234"|"O439N"|"R&D"|"V4497X"|"5"|"6"|"6"|"6"|"6"|"7"|"7"|"104894"|"5"
"235"|"J497F"|"R&D"|"X8066X"|"3"|"7"|"4"|"4"|"5"|"7"|"7"|"59520"|"2"
"236"|"I567I"|"Finance"|"Y4468Y"|"3"|"1"|"4"|"5"|"5"|"2"|"2"|"57632"|"0"
"237"|"C313W"|"R&D"|"Y3553W"|"7"|"4"|"7"|"7"|"7"|"6"|NA|"73275"|"9"
"238"|"H297V"|"Finance"|"Y9641W"|"7"|"5"|"7"|"7"|"7"|"6"|"7"|"47936"|"5"
"239"|"P275A"|"R&D"|"V4497X"|"7"|"4"|"7"|"7"|"7"|"5"|NA|"58293"|"3"
"240"|"D459M"|"R&D"|"Y3553W"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"53065"|"7"
"241"|"D537C"|"Ethics"|"W7742X"|"4"|"7"|"5"|"6"|"5"|"7"|NA|"71777"|"9"
"242"|"L628L"|"R&D"|"X8066X"|"4"|"2"|"6"|"6"|"5"|"4"|"3"|"50968"|"6"
"243"|"Z411R"|"R&D"|"X3607X"|"2"|"2"|"4"|"3"|"3"|"3"|"4"|"66141"|"8"
"244"|"D349B"|"Health"|"W8102W"|"3"|"1"|"5"|"5"|"4"|"1"|"4"|"81010"|"10"
"245"|"E163N"|"Health"|"V7487V"|"1"|"3"|"3"|"3"|"2"|"5"|"4"|"55962"|"3"
"246"|"N779C"|"R&D"|"V4497X"|"7"|"4"|"7"|"7"|"7"|"6"|"5"|"51632"|"2"
"247"|"O608Z"|"Health"|"V7487V"|"4"|"3"|"5"|"5"|"5"|"5"|NA|"76864"|"9"
"248"|"T285C"|"R&D"|"X8066X"|"5"|"1"|"7"|"7"|"7"|"2"|NA|"53077"|"6"
"249"|"L977R"|"Finance"|"Y4468Y"|"1"|"4"|"3"|"3"|"2"|"5"|"6"|"72837"|"9"
"250"|"B224K"|"DSI"|"V8472W"|"3"|"4"|"5"|"5"|"5"|"6"|"5"|"77193"|"9"
"251"|"A526N"|"Finance"|"Y9641W"|"2"|"6"|"3"|"4"|"4"|"7"|"7"|"77598"|"0"
"252"|"I616E"|"Ethics"|"W7742X"|"2"|"4"|"5"|"4"|"4"|"5"|"6"|"57438"|"6"
"253"|"B626S"|"Finance"|"Z7298V"|"4"|"1"|"5"|"5"|"6"|"3"|"3"|"59111"|"4"
"254"|"M414F"|"R&D"|"X3607X"|"2"|"3"|"4"|"4"|"2"|"4"|"5"|"81108"|"3"
"255"|"K335F"|"Finance"|"Y4468Y"|"3"|"3"|"5"|"4"|"5"|"5"|"4"|"144501"|"4"
"256"|"P487L"|"Finance"|"X7645X"|"4"|"4"|"5"|"5"|"6"|"5"|"5"|"59796"|"0"
"257"|"O835S"|"Finance"|"X7645X"|"5"|"7"|"6"|"6"|"6"|"7"|"7"|"135701"|"1"
"258"|"I413V"|"Ethics"|"W7742X"|"1"|"4"|"2"|"2"|"3"|"5"|"5"|"130406"|"5"
"259"|"Z189D"|"R&D"|"X8066X"|"7"|"6"|"7"|"7"|"7"|"7"|NA|"51918"|"1"
"260"|"J144O"|"Finance"|"Y4468Y"|"5"|"7"|"7"|"7"|"6"|"7"|"7"|"80343"|"9"
"261"|"F464O"|"R&D"|"Y3553W"|"7"|"5"|"7"|"7"|"7"|"7"|"7"|"59289"|"1"
"262"|"T856G"|"R&D"|"X3607X"|"1"|"5"|"2"|"3"|"3"|"7"|"7"|"45983"|"5"
"263"|"N245J"|"Ethics"|"W7742X"|"5"|"2"|"6"|"6"|"7"|"3"|"4"|"132590"|"0"
"264"|"S229P"|"DSI"|"V8472W"|"7"|"5"|"7"|"7"|"7"|"7"|"6"|"148410"|"10"
"265"|"K686G"|"Finance"|"Y9641W"|"7"|"3"|"7"|"7"|"7"|"5"|"4"|"48889"|"1"
"266"|"T292I"|"Health"|"Z4101Z"|"7"|"3"|"7"|"7"|"7"|"4"|"5"|"59136"|"3"
"267"|"G879Q"|"R&D"|"V4497X"|"4"|"7"|"5"|"5"|"6"|"7"|"7"|"70556"|"10"
"268"|"W404K"|"R&D"|"Y3553W"|"7"|"4"|"7"|"7"|"7"|"6"|NA|"134865"|"6"
"269"|"U673Q"|"Finance"|"Y4468Y"|"5"|"3"|"6"|"6"|"7"|"5"|NA|"161098"|"9"
"270"|"T404R"|"Finance"|"Z7298V"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"123304"|"0"
"271"|"U428R"|"R&D"|"Z2464Y"|"3"|"1"|"4"|"4"|"6"|"2"|"3"|"49877"|"0"
"272"|"P224G"|"Finance"|"Z7298V"|"2"|"4"|"5"|"3"|"3"|"6"|"5"|"129543"|"8"
"273"|"P177M"|"Health"|"V7487V"|"1"|"4"|"3"|"2"|"3"|"5"|"6"|"57814"|"2"
"274"|"K156V"|"R&D"|"X3607X"|"1"|"5"|"2"|"2"|"2"|"6"|"6"|"93196"|"7"
"275"|"F248Z"|"Finance"|"Y4468Y"|"1"|"4"|"2"|"2"|"2"|"6"|"6"|"58317"|"0"
"276"|"D562E"|"Finance"|"Y9641W"|"4"|"1"|"5"|"5"|"5"|"3"|"2"|"53461"|"2"
"277"|"Y892J"|"Finance"|"Z7298V"|"2"|"6"|"3"|"4"|"4"|"7"|"7"|"79401"|"7"
"278"|"E737K"|"R&D"|"V4497X"|"2"|"3"|"4"|"4"|"3"|"5"|"4"|"46500"|"0"
"279"|"E191U"|"R&D"|"V4497X"|"3"|"3"|"4"|"5"|"5"|"5"|"4"|"55797"|"3"
"280"|"P990K"|"Health"|"Z4101Z"|"7"|"1"|"7"|"7"|"7"|"2"|"3"|"53531"|"1"
"281"|"W784L"|"R&D"|"V4497X"|"1"|"4"|"2"|"3"|"2"|"6"|"6"|"48674"|"4"
"282"|"Q493B"|"R&D"|"Y3553W"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"144736"|"10"
"283"|"F713R"|"R&D"|"X8066X"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"68330"|"10"
"284"|"C810P"|"R&D"|"X3607X"|"4"|"6"|"7"|"5"|"6"|"7"|"7"|"58630"|"0"
"285"|"L345X"|"Ethics"|"W7742X"|"1"|"6"|"2"|"3"|"2"|"7"|"7"|"65239"|"8"
"286"|"V230Z"|"R&D"|"Z2464Y"|"3"|"3"|"4"|"5"|"4"|"4"|"4"|"147343"|"5"
"287"|"T867O"|"Finance"|"Y9641W"|"3"|"5"|"5"|"5"|"5"|"7"|"7"|"76814"|"10"
"288"|"C747S"|"Health"|"V7487V"|"4"|"6"|"5"|"5"|"5"|"7"|"7"|"81437"|"4"
"289"|"S957P"|"R&D"|"Y3553W"|"5"|"5"|"6"|"7"|"7"|"7"|"6"|"127436"|"9"
"290"|"A312K"|"Health"|"V7487V"|"5"|"5"|"6"|"7"|"6"|"6"|"6"|"77751"|"8"
"291"|"R700R"|"R&D"|"Y3553W"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"93339"|"0"
"292"|"F513T"|"Finance"|"Z7298V"|"4"|"2"|"5"|"6"|"6"|"3"|"3"|"96842"|"6"
"293"|"D761O"|"Ethics"|"W7742X"|"1"|"6"|"2"|"3"|"2"|"7"|"7"|"72554"|"10"
"294"|"I805J"|"Health"|"V7487V"|"4"|"6"|"6"|"6"|"5"|"7"|"7"|"97146"|"9"
"295"|"Z981F"|"Finance"|"X7645X"|"6"|"3"|"7"|"7"|"7"|"5"|"4"|"45778"|"0"
"296"|"R501Z"|"Finance"|"Z7298V"|"5"|"4"|"6"|"6"|"7"|"5"|"5"|"55622"|"7"
"297"|"M142Y"|"Finance"|"Z7298V"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"58655"|"4"
"298"|"X331O"|"Finance"|"X7645X"|"4"|"3"|"6"|"6"|"6"|"5"|"5"|"71484"|"3"
"299"|"O192I"|"R&D"|"X3607X"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"114054"|"1"
"300"|"X298J"|"R&D"|"Z2464Y"|"3"|"5"|"4"|"4"|"5"|"7"|"6"|"76366"|"8"
"301"|"B771W"|"Finance"|"X7645X"|"7"|"1"|"7"|"7"|"7"|"2"|NA|"117477"|"1"
"302"|"M319J"|"R&D"|"X8066X"|"2"|"4"|"4"|"3"|"3"|"4"|"6"|"55377"|"7"
"303"|"B427N"|"DSI"|"I511L"|"7"|"5"|"7"|"7"|"7"|"7"|"5"|"102702"|"3"
"304"|"Q291W"|"R&D"|"X8066X"|"6"|"6"|"6"|"7"|"7"|"7"|NA|"80473"|"9"
"305"|"Q353M"|"Finance"|"Y7685W"|"3"|"1"|"5"|"5"|"5"|"2"|"3"|"75129"|"9"
"306"|"X276S"|"R&D"|"V4497X"|"6"|"1"|"7"|"6"|"7"|"2"|"3"|"69699"|"10"
"307"|"L458P"|"R&D"|"V4497X"|"2"|"7"|"4"|"4"|"3"|"7"|"7"|"71769"|"8"
"308"|"N779J"|"R&D"|"Y3553W"|"6"|"3"|"7"|"7"|"7"|"4"|"5"|"118095"|"2"
"309"|"Y919L"|"Finance"|"Y7685W"|"5"|"6"|"6"|"6"|"6"|"7"|"7"|"99786"|"9"
"310"|"C501E"|"Ethics"|"X8022Z"|"4"|"6"|"4"|"5"|"5"|"7"|"7"|"75572"|"9"
"311"|"B633Y"|"DSI"|"V8472W"|"5"|"4"|"6"|"6"|"6"|"6"|"5"|"46380"|"3"
"312"|"I674N"|"Finance"|"Y4468Y"|"2"|"2"|"3"|"3"|"4"|"3"|"4"|"48969"|"4"
"313"|"Q943Z"|"R&D"|"X3607X"|"7"|"5"|"7"|"7"|"7"|"6"|"7"|"77016"|"8"
"314"|"R250U"|"R&D"|"Y3553W"|"3"|"5"|"4"|"5"|"4"|"6"|"7"|"74237"|"10"
"315"|"O231K"|"Health"|"V7487V"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"53922"|"4"
"316"|"P914P"|"Health"|"V7487V"|"5"|"3"|"7"|"6"|"6"|"5"|"4"|"45147"|"1"
"317"|"G790U"|"R&D"|"X8066X"|"3"|"7"|"5"|"4"|"4"|"7"|"7"|"50784"|"7"
"318"|"J710Q"|"Finance"|"Y9641W"|"1"|"2"|"2"|"2"|"3"|"4"|"3"|"47423"|"4"
"319"|"V744R"|"Ethics"|"X8022Z"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"53610"|"6"
"320"|"G568U"|"R&D"|"Y3553W"|"5"|"5"|"7"|"7"|"7"|"6"|"6"|"46494"|"5"
"321"|"Z620A"|"R&D"|"V4497X"|"2"|"2"|"3"|"4"|"4"|"3"|"3"|"71011"|"10"
"322"|"U661H"|"Health"|"W8102W"|"5"|"1"|"6"|"6"|"6"|"2"|NA|"78251"|"8"
"323"|"Q784D"|"Finance"|"Y7685W"|"1"|"1"|"2"|"3"|"3"|"2"|"3"|"77743"|"8"
"324"|"J473H"|"R&D"|"X8066X"|"1"|"3"|"3"|"2"|"2"|"5"|"5"|"76813"|"9"
"325"|"U945A"|"R&D"|"X3607X"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"57149"|"7"
"326"|"T934V"|"Health"|"W8102W"|"5"|"6"|"7"|"7"|"7"|"7"|NA|"58127"|"4"
"327"|"Y447L"|"Ethics"|"W2205Z"|"5"|"7"|"6"|"7"|"7"|"7"|"7"|"48218"|"2"
"328"|"V954E"|"Finance"|"Y7685W"|"4"|"5"|"5"|"4"|"5"|"6"|"7"|"78293"|"10"
"329"|"U149G"|"R&D"|"V4497X"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"45915"|"7"
"330"|"I809W"|"Ethics"|"W2205Z"|"2"|"4"|"3"|"3"|"3"|"7"|"6"|"59297"|"4"
"331"|"H366G"|"Ethics"|"W7742X"|"2"|"4"|"3"|"3"|"3"|"6"|"5"|"53327"|"3"
"332"|"Q396I"|"Health"|"W8102W"|"2"|"6"|"4"|"4"|"3"|"7"|"7"|"135850"|"7"
"333"|"B919P"|"R&D"|"X3607X"|"4"|"2"|"6"|"6"|"5"|"3"|"4"|"125887"|"9"
"334"|"U327J"|"Finance"|"X7645X"|"4"|"5"|"6"|"6"|"5"|"6"|"6"|"107643"|"10"
"335"|"U850P"|"Health"|"V7487V"|"4"|"1"|"6"|"6"|"5"|"2"|"2"|"51411"|"1"
"336"|"T475D"|"R&D"|"X3607X"|"2"|"4"|"4"|"3"|"3"|"5"|"5"|"50995"|"3"
"337"|"U570S"|"R&D"|"X8066X"|"3"|"4"|"4"|"5"|"5"|"5"|"6"|"101786"|"3"
"338"|"L852C"|"DSI"|"V8472W"|"1"|"1"|"4"|"2"|"3"|"2"|"2"|"46612"|"1"
"339"|"O226F"|"R&D"|"X3607X"|"2"|"4"|"3"|"3"|"4"|"6"|"5"|"48782"|"6"
"340"|"K598B"|"Ethics"|"X8022Z"|"5"|"4"|"7"|"6"|"7"|"6"|NA|"48874"|"1"
"341"|"M561Q"|"R&D"|"V4497X"|"1"|"5"|"2"|"2"|"3"|"7"|"7"|"54544"|"1"
"342"|"P362M"|"Finance"|"Y7685W"|"3"|"3"|"5"|"5"|"3"|"5"|"5"|"68688"|"9"
"343"|"A533R"|"DSI"|"V8472W"|"5"|"6"|"6"|"7"|"7"|"7"|NA|"97897"|"9"
"344"|"A810A"|"R&D"|"Y3553W"|"1"|"1"|"2"|"2"|"3"|"2"|"2"|"59554"|"4"
"345"|"S282T"|"Health"|"W8102W"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"157918"|"8"
"346"|"N696T"|"R&D"|"X3607X"|"5"|"7"|"7"|"7"|"6"|"7"|"7"|"51498"|"7"
"347"|"F165L"|"Finance"|"X7645X"|"2"|"6"|"3"|"4"|"3"|"7"|"7"|"105049"|"1"
"348"|"W404G"|"Finance"|"Y4468Y"|"5"|"2"|"6"|"7"|"6"|"3"|"5"|"46494"|"2"
"349"|"G972U"|"R&D"|"X3607X"|"6"|"2"|"7"|"7"|"7"|"3"|"3"|"54750"|"2"
"350"|"V940M"|"R&D"|"Z2464Y"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"133779"|"6"
"351"|"C866T"|"Ethics"|"W2205Z"|"2"|"3"|"4"|"3"|"3"|"4"|"5"|"61109"|"6"
"352"|"M232Q"|"R&D"|"X8066X"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"99291"|"8"
"353"|"P862O"|"Ethics"|"X8022Z"|"7"|"1"|"7"|"7"|"7"|"3"|"3"|"79767"|"8"
"354"|"T275Y"|"Finance"|"Y4468Y"|"6"|"3"|"7"|"7"|"7"|"5"|"5"|"68912"|"9"
"355"|"Z210P"|"Health"|"W8102W"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"70467"|"9"
"356"|"V535Q"|"R&D"|"V4497X"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"47868"|"1"
"357"|"L881X"|"Finance"|"X7645X"|"2"|"3"|"3"|"4"|"3"|"4"|"5"|"80899"|"9"
"358"|"R942M"|"R&D"|"V4497X"|"4"|"3"|"5"|"5"|"5"|"5"|"5"|"48358"|"0"
"359"|"X304B"|"Finance"|"X7645X"|"6"|"7"|"7"|"7"|"7"|"7"|NA|"54047"|"5"
"360"|"M845N"|"Ethics"|"X8022Z"|"7"|"6"|"7"|"7"|"7"|"7"|NA|"51022"|"0"
"361"|"J389D"|"Ethics"|"X8022Z"|"4"|"5"|"5"|"6"|"5"|"7"|"6"|"50553"|"4"
"362"|"I640S"|"R&D"|"X3607X"|"6"|"4"|"7"|"7"|"7"|"6"|NA|"112523"|"8"
"363"|"P578T"|"R&D"|"X8066X"|"6"|"2"|"7"|"7"|"7"|"3"|"3"|"50187"|"4"
"364"|"V881H"|"R&D"|"V4497X"|"2"|"2"|"4"|"3"|"4"|"3"|"4"|"69417"|"8"
"365"|"F423C"|"Health"|"W8102W"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"90492"|"1"
"366"|"S764T"|"Ethics"|"W2205Z"|"1"|"4"|"3"|"2"|"3"|"5"|"5"|"69936"|"8"
"367"|"A805C"|"Finance"|"Y7685W"|"2"|"2"|"3"|"4"|"4"|"3"|"3"|"138625"|"6"
"368"|"D485W"|"R&D"|"Y3553W"|"4"|"7"|"6"|"6"|"5"|"7"|"7"|"52910"|"3"
"369"|"A757X"|"R&D"|"X3607X"|"3"|"1"|"4"|"5"|"5"|"3"|"3"|"115375"|"10"
"370"|"Z614X"|"Health"|"V7487V"|"5"|"2"|"7"|"6"|"6"|"3"|"3"|"54831"|"2"
"371"|"M565Z"|"Health"|"W8102W"|"5"|"1"|"7"|"6"|"7"|"3"|NA|"50188"|"6"
"372"|"W639Y"|"Finance"|"Y4468Y"|"1"|"6"|"2"|"2"|"2"|"7"|"7"|"134909"|"2"
"373"|"J217M"|"Finance"|"Y9641W"|"6"|"3"|"7"|"7"|"7"|"5"|"4"|"53870"|"6"
"374"|"B726Y"|"Health"|"Z4101Z"|"4"|"3"|"5"|"6"|"6"|"4"|NA|"96567"|"4"
"375"|"N801C"|"Health"|"W8102W"|"5"|"6"|"6"|"7"|"7"|"7"|"7"|"53745"|"3"
"376"|"U477C"|"Finance"|"Y9641W"|"5"|"5"|"6"|"7"|"6"|"6"|"6"|"50162"|"0"
"377"|"R676H"|"Finance"|"Y7685W"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"57532"|"2"
"378"|"N580M"|"Ethics"|"X8022Z"|"7"|"2"|"7"|"7"|"7"|"5"|"3"|"127793"|"10"
"379"|"I365O"|"Finance"|"Y4468Y"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"56638"|"6"
"380"|"P262X"|"Health"|"W8102W"|"5"|"4"|"7"|"7"|"6"|"5"|"5"|"45632"|"3"
"381"|"C815E"|"Ethics"|"X8022Z"|"6"|"7"|"7"|"7"|"7"|"7"|NA|"66115"|"10"
"382"|"A564Y"|"Health"|"V7487V"|"3"|"7"|"5"|"5"|"4"|"7"|"7"|"53418"|"1"
"383"|"B517W"|"R&D"|"Z2464Y"|"6"|"2"|"7"|"7"|"7"|"4"|NA|"51665"|"4"
"384"|"M145H"|"Finance"|"Y7685W"|"3"|"7"|"5"|"5"|"5"|"7"|"7"|"50583"|"6"
"385"|"Z461P"|"Health"|"V7487V"|"5"|"2"|"6"|"5"|"7"|"4"|"3"|"46557"|"0"
"386"|"T802F"|"DSI"|"V8472W"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"147471"|"0"
"387"|"D304N"|"Finance"|"Z7298V"|"4"|"7"|"5"|"5"|"6"|"7"|"7"|"144211"|"3"
"388"|"A412R"|"Finance"|"Z7298V"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"53807"|"7"
"389"|"G617J"|"Health"|"W8102W"|"7"|"1"|"7"|"7"|"7"|"3"|"3"|"149250"|"2"
"390"|"T588R"|"Ethics"|"X8022Z"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"53532"|"6"
"391"|"B456O"|"Ethics"|"W2205Z"|"6"|"2"|"7"|"7"|"7"|"4"|"4"|"55888"|"3"
"392"|"K405A"|"R&D"|"Y3553W"|"5"|"5"|"6"|"6"|"7"|"7"|"7"|"124759"|"2"
"393"|"J595A"|"Health"|"Z4101Z"|"1"|"5"|"2"|"2"|"2"|"5"|"6"|"101965"|"8"
"394"|"F982F"|"Finance"|"Y9641W"|"3"|"4"|"4"|"5"|"5"|"5"|"5"|"71919"|"10"
"395"|"J526I"|"R&D"|"Y3553W"|"4"|"7"|"5"|"6"|"7"|"7"|"7"|"53181"|"1"
"396"|"O922V"|"DSI"|"V8472W"|"5"|"2"|"7"|"7"|"7"|"3"|"3"|"79594"|"8"
"397"|"K787O"|"R&D"|"V4497X"|"4"|"5"|"5"|"6"|"5"|"7"|"6"|"74785"|"8"
"398"|"Q481I"|"Health"|"Z4101Z"|"1"|"3"|"2"|"3"|"3"|"5"|"5"|"116418"|"3"
"399"|"B850U"|"DSI"|"V8472W"|"4"|"4"|"7"|"5"|"5"|"5"|"5"|"47919"|"1"
"400"|"S407D"|"Finance"|"Y9641W"|"1"|"3"|"3"|"3"|"3"|"4"|"5"|"59897"|"2"
"401"|"S112A"|"R&D"|"Y3553W"|"7"|"2"|"7"|"7"|"7"|"4"|NA|"106734"|"1"
"402"|"L715W"|"Health"|"V7487V"|"6"|"5"|"7"|"7"|"7"|"6"|"6"|"95116"|"8"
"403"|"F626A"|"Health"|"V7487V"|"3"|"7"|"3"|"5"|"4"|"7"|"7"|"55102"|"5"
"404"|"N941U"|"DSI"|"I511L"|"3"|"7"|"4"|"4"|"5"|"7"|"5"|"51476"|"1"
"405"|"L950C"|"Health"|"Z4101Z"|"3"|"5"|"5"|"4"|"5"|"6"|"7"|"57031"|"0"
"406"|"M187Y"|"Finance"|"Y4468Y"|"3"|"5"|"4"|"4"|"4"|"6"|NA|"72571"|"1"
"407"|"T718L"|"R&D"|"X3607X"|"5"|"7"|"6"|"6"|"7"|"7"|"7"|"97251"|"6"
"408"|"K618G"|"R&D"|"X3607X"|"1"|"7"|"3"|"2"|"2"|"7"|"7"|"146374"|"0"
"409"|"B146O"|"Finance"|"X7645X"|"5"|"3"|"7"|"6"|"6"|"5"|"3"|"74215"|"10"
"410"|"S691G"|"R&D"|"X3607X"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"123909"|"7"
"411"|"G287I"|"Health"|"Z4101Z"|"4"|"1"|"6"|"5"|"6"|"3"|"2"|"113736"|"6"
"412"|"P327C"|"R&D"|"X3607X"|"2"|"6"|"3"|"4"|"4"|"7"|"7"|"74276"|"8"
"413"|"M965W"|"R&D"|"X8066X"|"6"|"5"|"7"|"7"|"7"|"7"|"5"|"48914"|"5"
"414"|"E986H"|"R&D"|"X3607X"|"4"|"4"|"6"|"6"|"5"|"5"|"5"|"54246"|"5"
"415"|"B984G"|"Finance"|"Y4468Y"|"2"|"2"|"3"|"4"|"3"|"3"|"4"|"130942"|"6"
"416"|"V739F"|"Finance"|"Y4468Y"|"3"|"6"|"4"|"4"|"5"|"7"|"7"|"73805"|"10"
"417"|"C378Y"|"Ethics"|"W2205Z"|"7"|"5"|"7"|"7"|"7"|"6"|NA|"74135"|"9"
"418"|"F226G"|"R&D"|"Y3553W"|"5"|"5"|"7"|"7"|"7"|"6"|"6"|"75450"|"10"
"419"|"B927M"|"Health"|"V7487V"|"1"|"7"|"2"|"2"|"3"|"7"|"7"|"50289"|"4"
"420"|"Y330M"|"Ethics"|"W7742X"|"1"|"2"|"2"|"1"|"2"|"3"|"3"|"51623"|"2"
"421"|"L793N"|"R&D"|"Z2464Y"|"6"|"5"|"7"|"7"|"7"|"7"|"7"|"50590"|"5"
"422"|"U485M"|"Health"|"Z4101Z"|"2"|"1"|"3"|"3"|"3"|"2"|"2"|"56271"|"1"
"423"|"T205M"|"R&D"|"V4497X"|"4"|"7"|"5"|"5"|"5"|"7"|"7"|"59671"|"5"
"424"|"R947I"|"R&D"|"Z2464Y"|"1"|"2"|"3"|"2"|"2"|"4"|"3"|"106944"|"4"
"425"|"U636T"|"Ethics"|"X8022Z"|"3"|"2"|"4"|"4"|"5"|"3"|"3"|"54154"|"5"
"426"|"R200P"|"Ethics"|"X8022Z"|"4"|"2"|"5"|"5"|"6"|"4"|"4"|"72252"|"10"
"427"|"H598Q"|"Health"|"Z4101Z"|"4"|"1"|"6"|"5"|"4"|"3"|"3"|"46597"|"4"
"428"|"H593H"|"Ethics"|"W7742X"|"3"|"4"|"5"|"4"|"5"|"6"|"6"|"57336"|"5"
"429"|"W537X"|"Ethics"|"W7742X"|"4"|"3"|"6"|"5"|"5"|"5"|"4"|"113823"|"9"
"430"|"W107G"|"Finance"|"X7645X"|"5"|"7"|"7"|"6"|"7"|"7"|"7"|"73799"|"0"
"431"|"S637U"|"Finance"|"Y7685W"|"2"|"2"|"3"|"4"|"3"|"3"|"4"|"73187"|"9"
"432"|"P740Y"|"Ethics"|"W2205Z"|"6"|"3"|"7"|"7"|"7"|"4"|NA|"76095"|"8"
"433"|"G831I"|"Finance"|"Y4468Y"|"7"|"5"|"7"|"7"|"7"|"6"|"7"|"68614"|"9"
"434"|"M252K"|"Finance"|"Z7298V"|"5"|"5"|"6"|"6"|"6"|"6"|"7"|"73187"|"10"
"435"|"B565D"|"Health"|"V7487V"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"67277"|"10"
"436"|"B890H"|"R&D"|"Y3553W"|"7"|"2"|"7"|"7"|"7"|"4"|"3"|"58395"|"6"
"437"|"Y587I"|"Finance"|"X7645X"|"2"|"4"|"3"|"3"|"2"|"6"|"5"|"137157"|"4"
"438"|"W643Z"|"Ethics"|"X8022Z"|"6"|"7"|"7"|"7"|"7"|"7"|NA|"143324"|"7"
"439"|"H380Q"|"Finance"|"Y4468Y"|"1"|"1"|"3"|"3"|"4"|"2"|"4"|"71601"|"7"
"440"|"S767O"|"Health"|"Z4101Z"|"4"|"4"|"4"|"6"|"6"|"6"|"5"|"55050"|"4"
"441"|"P620E"|"R&D"|"Z2464Y"|"7"|"1"|"7"|"7"|"7"|"2"|"3"|"50737"|"0"
"442"|"L704A"|"Finance"|"Y7685W"|"3"|"6"|"5"|"5"|"5"|"7"|NA|"53562"|"7"
"443"|"W149I"|"Finance"|"X7645X"|"7"|"2"|"7"|"7"|"7"|"3"|NA|"69113"|"1"
"444"|"Z938R"|"Health"|"Z4101Z"|"3"|"4"|"5"|"5"|"5"|"5"|"6"|"125622"|"2"
"445"|"I636N"|"Finance"|"Z7298V"|"4"|"3"|"5"|"5"|"5"|"4"|"5"|"54582"|"5"
"446"|"I454V"|"R&D"|"Z2464Y"|"1"|"7"|"2"|"3"|"2"|"7"|"7"|"139836"|"2"
"447"|"E392L"|"R&D"|"V4497X"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"76852"|"9"
"448"|"P752Y"|"Health"|"Z4101Z"|"5"|"5"|"7"|"6"|"7"|"7"|"6"|"91560"|"0"
"449"|"K127E"|"Finance"|"Z7298V"|"7"|"5"|"7"|"7"|"7"|"6"|"6"|"70310"|"8"
"450"|"L864C"|"DSI"|"V8472W"|"1"|"1"|"3"|"3"|"3"|"2"|"3"|"51009"|"1"
"451"|"C754R"|"Finance"|"Y4468Y"|"5"|"3"|"7"|"7"|"6"|"4"|"4"|"46560"|"5"
"452"|"O607T"|"R&D"|"X3607X"|"1"|"5"|"2"|"3"|"2"|"5"|"6"|"53258"|"7"
"453"|"L808T"|"Health"|"V7487V"|"3"|"3"|"4"|"5"|"5"|"4"|"5"|"45313"|"4"
"454"|"V704R"|"R&D"|"V4497X"|"4"|"4"|"5"|"5"|"5"|"5"|"6"|"74556"|"9"
"455"|"A126C"|"Finance"|"Y7685W"|"7"|"6"|"7"|"7"|"7"|"7"|NA|"72403"|"10"
