,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
117,4/30/2016 0:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others,"In the DDH chamber of the company Explomin, located at the level -100 Socorro ramp 334, when the worker - assistant driller-was dismantling the fifth drill rod (NQ - 3 meters of steel with a weight of 24 kg) , using a stilson key (No. 18), at that moment the operator operates the rotation unit, the drill rod rotates by pressing the left hand of the worker against the base of the rod holder, causing an injury to the left hand. At the time of the accident, the drilling assistant used rubber gloves"
118,5/1/2016 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others,"When carrying out the maneuver to increase the HQ pipe line, the driller Wilder indicates the assistant Gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller Without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury."
119,5/2/2016 0:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.
120,5/4/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut."
121,5/3/2016 0:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others,"Being 04:20 p.m. approximately, in the Nv. 1880, CX-781. Mr. Kevin helper of Jumbo 55, removed the drill rod that was in the drilling hole, instants that breaks the chain of subjection of the table of the drilling machine, sliding down achieving rubbing the index finger of the left hand, causing the injury."
122,5/4/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 11:30 am. approximately, in the Nv. 1940, CX-791. Mr. Francisco - Operator of the Scoop 18, observes a polyethylene pipe thrown on the road, proceeding to lower his equipment and when was found by lifting the pipe to the hook of the right gable, a piece of rock that was suspended in the lectro-welded mesh, impacting on the operator's right eyebrow, causing the injury."
123,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler."
124,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps."
125,5/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand."
126,5/5/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury."
127,5/11/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"In the welding workshop of level 3620 (Ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 Kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder."
128,5/12/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion."
129,5/11/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap."
130,5/14/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding."
131,5/17/2016 0:00,Country_01,Local_11,Others,I,II,Male,Employee,Others,"When an employee of MILPO Lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. According to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine."
132,5/19/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others,"At the El Porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time of the accident the operators made use of their safety gloves."
133,5/18/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others,"The employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin."
134,5/22/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee."
135,5/20/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head."
136,5/22/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet."
137,5/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Fall,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care."
138,5/12/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"Being 10:50 am. Approximately, in the workshop of mechanical maintenance (surface) Mr. Orlando of boltec) and his assistant Mr. Macedonio made the cut of the link to shorten the distance of the chain and hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting the second finger of the left hand causing the injury."
139,5/25/2016 0:00,Country_01,Local_04,Mining,II,III,Male,Employee,Others,"During the tests of the soft starter of the engine of belt 03 the collaborator Igor moves around the site and at approximately 19:45 pm falls into a trench for electric cables, (0.90m deep), the same as was found partially discovered."
140,5/27/2016 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately."
141,5/25/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The ground team coordinated by Prospector with his assistants: da Silva and Wila 14:45 p.m., in a prong opening to access and collect soil samples, Auxiliar came across some he tried to divert about 10 meters to the right of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any other action since the thugs were already agitated, da Silva 5 times: a sting in the head, another behind the neck and other 3 stings in the face. Since all have allergy tests, it was verified that there was no allergic reaction, washed the affected part and returned to normal activities."
142,5/26/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities."
143,5/26/2016 0:00,Country_03,Local_10,Others,I,I,Male,Employee,Others,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities."
144,6/1/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.
145,6/2/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand"
146,6/3/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others,"In circumstances that the collaborator performed the cleaning of the ditch 3570, 0.50 cm deep, removing the pipe of 2 ""HDPE material with an estimated weight of 30 Kg. Together with two collaborators, when pushing the tube to drain the dune, the collaborator is hit on the lower right side lip producing a slight blow to the lip. At the time of the event, the collaborator had a safety helmet, glasses and gloves."
147,6/4/2016 0:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others,"Being 01:50 p.m. approximately, in the Nv. 1800, in the Tecnomin winery. Mr. Chagua - Bodeguero was alone, cutting wires No. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. Originating traumatic amputation of two fingers of the left hand"
148,6/3/2016 0:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others,"During the field trip, on LT 01 of the Lajes target, Junior da Costa official stepped on a wooden stump that was on the ground, approximately 5 cm, which pierced his boot wounding the sole of the right foot. At the time of the accident, the employee was using all the PPE required for the activity and had his hands free. The employee was taken to the hospital, where he went through medical care, and was released to return to his activities the next day of work."
149,6/5/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"at level 2900, during the ore hauling activity with locomotive from the OP2 to the bines, at times when the convoy was traveling through the hopper of the OP1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the HDP pipeline in the gable the work at 1.65 meters from the floor. At the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. At the time of the accident the Split set only accompanied the movement path of the convoy."
150,6/5/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated."
151,6/8/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician."
152,6/7/2016 0:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone."
153,6/7/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"In phase III of the concentrator plant, the maintenance personnel carried out the removal of transmission belt from the flotation cell of Pb cleaning; at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor, leaving his foot between the two pipes generating the lesion described. The work was carried out at the floor level and at the time of the accident, the staff had put on their safety equipment."
154,6/8/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level),At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.
155,6/8/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities."
156,6/8/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities."
157,6/10/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg."
158,6/13/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"Once the mooring of the faneles in the detonating cord has been completed, the injured person proceeds to tie the detonating cord in the safety guide (slow wick) at a distance of 2.0 meters from the top of the work. At that moment, to finish mooring, a rock bank (30cm x 50cm x 15cm; 67.5 Kg.) the same front, from a height of 1.60 meters, which falls to the floor very close to the injured, disintegrates in several fragments, one of which (12cmx10cmx3cm, 2.0 Kg.) slides between the fragments of rock and impacts with the left leg of the victim. At the time of the accident the operator used his safety boots and was accompanied by a supervisor."
159,6/16/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"During the activity of construction of wall stopper with mortar blocks to improve ventilation in the intermediate zone; in moments that the bricklayer assistant was preparing to complete the construction of the 3.05m high wall, part of the wall - 12 blocks; 1.5 Kg per block - fall towards the scaffold, so the mason assistant jumps towards an accumulation of sand located on one side to avoid being hit by the blocks, during the fall the injury described occurs. At the time of the accident the mason assistant jumps from a height of 1.40 m from the floor of the work and used his personal safety equipment which reduced the impact of the fall."
160,6/16/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The Geologo and the auxiliary Elismar traveled to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to the Aripuanã area, they stopped and got out of the vehicle to see the point identified in the GPS, Renato, when distancing himself about seven meters from the vehicle following the road, was surprised by four bites of thorns on his face and neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction."
161,6/16/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Geologist and auxiliary Ademir traveled to the field to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to Aripuanã area, stopped and got out of the vehicle to see the point identified in the GPS, Mário, when distancing himself about five meters from the vehicle following the road, was surprised by two bites of thorns on his face. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction."
162,6/16/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"The Safety and Technical moved to the field for inspection activity, on the way to the field, paused together with the other two teams in order to know the drainage points to be checked, the Safety at getting out of the vehicle, was struck by a sting of a weed in his neck, quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place. The clerk was wearing leggings and glasses. There was no allergic reaction."
163,6/16/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"Auxiliary and Geologist traveled to the field to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to Aripuanã area, stopped and got out of the vehicle to see the point identified in the GPS, Ademir, distancing himself about five meters from the vehicle, accompanied by the geologist Mario, was surprised by two bites of blows on his neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction."
164,6/18/2016 0:00,Country_03,Local_10,Others,I,I,Male,Employee,Bees,"While traveling in the field in order to make geological mapping, the geologist Manoel who was accompanied by the prospector Marcos stooped to deviate from the vegetation, at that time, received three whistling stings being them, two on the face and one on the neck. There was no allergic reaction and activities followed normally after the event."
165,6/18/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees,"When moving in the field to make geological mapping, the prospector Marcos who was accompanied by the geologist Manoel stooped to deviate from the vegetation, at that moment, received a whistling sting in the ring finger of his right hand. There was no allergic reaction and activities followed normally after the event."
166,6/17/2016 0:00,Country_02,Local_08,Metals,IV,V,Male,Employee,"
Not applicable","At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment."
169,6/19/2016 0:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge."
170,6/21/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"When the mechanical technician proceeded to perform the maintenance of motor supports of a tipper, he decided to bring a wooden block, for which he moved to the temporary storage of materials - located at 10 m. of the tipper - in circumstances in which he sought the cue; the camera of a tire burst suddenly (it was on the right and 2 m. of the involved); the thunderous sound affected the right ear of the worker. The tire that exploded has 110 psi of pressure approximately, at the time of the event they were stacked 3 pneumatic, the second was the one that exploded (presented cut - place where the energy was released). The tire that was in the upper part was not projected. The tires were left by the previous guard (night shift), the storage area does not have a roof. In the place of the event only the affected mechanic was located (at 2m.) And at a distance of 70m. there were other workers. In the area 5 trucks were parked, none of them suffered damage to the glass."
171,6/22/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Others,"In level 2930 access Siemag camera roof, at times when the piquero civil operator looked for a stilson key of 12 ""inside its metal tool box, open the metal lid (1m x 0.6m x 0.7m; 5 Kg of weight) with both hands, then push the lid backwards positioning your right hand near the base of the lid causing an incentration of your fifth finger between the lid and the structure of the box at the height of the hinge. At the time of the accident, the employee wore pad gloves, which reduced the consequence of the injury."
172,6/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Manual Tools,"When handling a lever to move the sludge, the employee moved it by making a pendulum movement and striking his chin."
173,6/24/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"During the change of rim position 1 of the Jumbo ° 15, at moments that the mechanical technician with the support of the electrician disengaged the bolts, when loosening the fourth nut with the help of a lever (metal tube 1 ""diameter, 1.8m of length and a weight of 5.5 Kg), this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury. The employees at the time of the accident used their PPE's including leather gloves."
174,6/24/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"In circumstances in which the operator of the scooptram proceeded to sit on his equipment, when closing the door he takes his right hand off the handrail and places it close to the door hinge, which when closing traps part of the worker's middle finger . The worker at the time of the accident made use of leather safety gloves."
175,6/29/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"In plant while doing work on GEHO pump reducer N ° 1, when accompanying the rotation of the shaft of the reducer with a mixed key of 7/16 "", the wrench crown hits against the housing of the GEHO pump attributing the Union area of ​​the fifth and fourth fingers of the welder's right hand causing the injury. At the time of the accident the equipment was blocked and the employee used his leather gloves."
176,7/2/2016 0:00,Country_01,Local_03,Mining,V,V,Male,Third Party,Others,"In access 2 of level 3910, during the installation activity of hydraulic filling pipes of 4 ""diameter, when installing a section 80 m to a height of 5.6 m with reference to the floor, the master of hydraulic filling - accident - and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury. At the time of the accident the employee used his rubber gloves."
177,7/4/2016 0:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Pressed,"At 11:00 a.m., Mr. Frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. At that moment the part moving part moves generating a blow to the middle finger of the left hand"
178,6/24/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others,"At level 3490 gallery 447, after performing the manual unlocking on load, the worker prepares to cut the sacrificial mesh that was exposed after the previous turn shot, placing himself under it with a 12-inch shear, when cutting the fifth suddenly strained wire of the mesh returns to his face casionándole the injury described. During the activity the worker used his safety glasses."
179,7/8/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others,"In circumstances in which the adjutant of the scissor bolter came down by the team's ladder - last step - it slides from an approximate height of 0.9 m. and falls sitting on the floor. At the time of the accident, the person involved in the use of the helmet; there were no rocks or materials in the crash site."
180,7/7/2016 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Others,"At moments when the MAPERU truck of plate F1T 878, returned from the city of Pasco to the Unit transporting a consultant, being 350 meters from the main gate his lane is invaded by a civilian vehicle, making the driver turn sharply to the side right where was staff of the company IMPROMEC doing hot melt work in an 8 ""pipe impacting two collaborators causing the injuries described At the time of the accident the truck was traveling at 37km / h - according to INTHINC -, the width of the road is of 6 meters, the activity had safety cones as a warning on both sides of the road and employees used their respective EPP'S."
181,7/7/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"At moments when the MAPERU truck of plate F1T 878, returned from the city of Pasco to the Unit transporting a consultant, being 350 meters from the main gate his lane is invaded by a civilian vehicle, making the driver turn sharply to the side right where was staff of the company IMPROMEC doing hot melt work in an 8 ""pipe impacting two collaborators causing the injuries described At the time of the accident the truck was traveling at 37km / h - according to INTHINC -, the width of the road is of 6 meters, the activity had safety cones as a warning on both sides of the road and employees used their respective EPP'S."
182,7/8/2016 0:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools,"Being 10:25 h approx. hours the operator Fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. At that moment he presses the bar and hits his hand."
183,7/9/2016 0:00,Country_03,Local_10,Others,III,IV,Male,Third Party,Others,"During execution of drilling on the target - Bolt BRJCLDD0006, made by the company SERVITECFORACO - probe 25, at 09:45 on July 9, 2016, the official Josimar da Silva, in the moment of the maneuver to fish material, when removing the feeder of water, during movement of the winch realized that the safety chain was loose and could curl in the rod. In performing the chain removal movement, he placed his left hand between the hose and the cap of the hydraulic plate. With the unlocking of the inner tube there was an abrupt movement of the chain, pushing his hand towards the hydraulic plate, causing an injury to the ring finger of this hand. The lesion caused a cut in the 4th Quirodactyl, with a need for suture of 3 points to close the cut."
184,7/10/2016 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"The operator of the paste filling plant 01 removes a floor grating (60 x 90 cm), to clean the lower floor. It is removed to close the water valve and does not block the vacuum, the two technicians who were entering the filter belt notice an overflow and ask the operator to reduce the load. The mechanics kept walking without noticing the floor and one of them falls into the void impacting his foot left at an angle that was about 25 cm below the floor grating, producing the injury."
185,7/11/2016 0:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads,"The accident occurred at the time an employee of the partner company SF carried out unloading operation of bladder bags. By cutting the bag for charging of the boom into the silo truck's delivery mouth, the inner plastic bag surrounding the contents abruptly dropped and a large amount of material fell onto the cone (funnel). The cone fell over and the injured man stood with his leg pressed between him and the body guard of the scaffold. There was external medical attention and it was verified that there was no fracture"
186,7/14/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"At level 2900 at the entrance of the locomotive workshop, the welder proceeds to inspect the mining cars and identifies that the No. 24 car has bearing problems, informs his partner about this finding and decides to enter the car to the workshop, so it operates the swing arm type mona of 15 KG. of weight to move the direction of the railway towards the central OP, is at this moment that pushes the rocker with the weight of his body until his right hand comes in contact with the rock producing the injury described. At the time of the accident the worker was wearing the safety gloves of pad."
187,7/15/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Employee,Chemical substances,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn."
188,7/16/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"At level 3490 gallery 239, during the holding activity with the Bolter equipment No. 24, the operator performs the drilling of the first hole to support the right gable; When the 7-foot-deep drill was about to end, the drill rod breaks, leaving the threads inside the drilling machine's shank; the operator and his assistant decide to make two empty percussion attempts to free the threads of the shank without success; in the third attempt the assistant enters a 3/8 ""corrugated iron to the central hole of the rest of the bar embedded in the shank to generate pressure, it is at this moment the operator activates the percussion and generates a movement of the shank which hits the palm of the victim's left hand generating a described injury. The worker was wearing safety gloves at the time of the accident. The end of the corrugated iron in contact with the left hand is shaped like a cane. The worker at the time of the accident was positioned under a roof supported with mesh and split set."
189,7/18/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"At 21:15 hours on 07/18/2016, the collaborator Warrin (welder), when trying to inspect a cracking point in the INLET of the G2143 laminator, slips and falls to the same level hitting his face and hand , he was immediately transferred to the medical service for evaluation."
190,7/20/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face."
191,7/21/2016 0:00,Country_02,Local_12,Others,I,II,Female,Employee,Traffic,"At the Eusébio bridge, there was a sudden braking in which several cars had to brake quickly. The collaborator's car failed to stop in time and collided with the rear of the car ahead. They were about 40km / hour."
192,7/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Pressurized Systems,"During torch cutting activity of the new evaporator treatment fixings, there was a rupture of the hose near the torch pen, causing the injury."
193,7/27/2016 0:00,Country_01,Local_03,Mining,II,IV,Male,Employee,Others,"At times when the mill operator proceeded to remove the vitaulic flange connecting the suction pipe to the pump housing 8B; with the intention of de-sanding the system, when removing the flange, the mineral pulp comes out under pressure and impacts on the face and wrist of his left hand generating the lesion described. At the time of the accident, both the secondary mill No. 4 and the pumps 8A and 8B were blocked for maintenance work and the mill operator used his safety glasses."
194,7/29/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others,"At level 3390 access 2 area 2; the operator of the Scissor team No. 200 was preparing to present the second mesh to continue with the support of the work; When the operator pulls the support mesh to share its length equally on both sides of the equipment, it is at this moment that from the roof of the work a rock weighs approximately 400 Kg, which falls on the support mesh and slides towards the right side spoiler, as a result of this the mesh pushes the operator who is kneeling on the floor of the platform, which generates the lesion described. The rock falling does not directly impact the operator who was in a squatting position. The operator moves away from the area walking by his own means and is supported by the assistant."
195,7/30/2016 0:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others,"employee reports that upon initiating 615RLC front loading activity, during the elevation of the aerial work platform, a rock fragment from the roof of the gallery was dropped, reaching its face, causing the lesion."
