"X","aspectsRecog","aspectsSubst","aspectsAdvance","aspectsComp","aspectsControlAmount","aspectsControlHow","aspectsRelations","aspectsSecurity","aspectsRespons","aspectsTasks","aspectsChallenge","aspectsSkill","aspectsTravel","aspectsEval","aspectsBalance","lifeSatIdeal","lifeSatExcellent","lifeSatHappy","lifeSatThings","lifeSatChange","lifeSatRespect","lifeSatFamily","lifeSatFaith","lifeSatHelp","age","gradNY","big4Frst","gender","salary","edu_under_3_TEXT","children","totalYrsWorked","totalYrsWorkedBig","gradNonLawNY","gradLaw","big4Now","empStatus","big4Ever","yearGroup","jobSatScore","lifeSatScore","yearsWorkedGroups","salaryContrasts","partTimeDummy"
142,"Somewhat satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Agree","Somewhat agree","Somewhat disagree","Neither disagree nor agree","Somewhat agree","Somewhat disagree","Neither disagree nor agree",27,"No","No","Male","$60,000-$69,000",2010,0,4,0,"0","0",0,"Employed full time","No","1980+",-0.345207054793201,-0.196542677624,"Less than 15","$60,000-$69,000",0
143,"Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Agree","Agree","Somewhat agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Somewhat disagree",58,"No","No","Male","$800,000-$999,999",1979,1,35,0,"0","0",0,"Employed full time","No",,0.695615715101006,-0.185944981372508,"More than 20","$800,000-$999,999",0
145,"Highly satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither disagree nor agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",32,"Yes","Yes","Female","$90,000-$99,000",2007,1,5,5,"1","0",0,"Employed full time","Yes","1980+",-1.78677493930313,0.638767900188466,"Less than 15","$90,000-$99,000",0
146,"Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat agree","Agree","Strongly agree","Agree","Somewhat agree","Agree","Strongly agree","Agree","Somewhat agree",27,"No","No","Male","$60,000-$69,000",2010,0,4,0,"0","0",0,"Employed full time","No","1980+",-0.258873370719886,0.3162938448476,"Less than 15","$60,000-$69,000",0
147,"Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree",36,"Yes","Yes","Male","$120,000-$149,999",2000,3,3,3,"1","0",0,"Employed full time","Yes","1980+",-0.316723540348891,0.473944775971899,"Less than 15","$120,000-$149,999",0
148,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Agree","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Somewhat agree",32,"Yes","No","Male","$200,000-$299,999",2004,0,2,0,"1","0",0,"Employed full time","No","1980+",1.10903874688197,0.214448455477915,"Less than 15","$200,000-$299,999",0
149,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Strongly agree","Strongly agree","Somewhat agree",46,"Yes","Yes","Male","$1,000,000-$2,999,999",1990,3,24,7,"1","0",0,"Employed full time","Yes","1980+",0.557225655016041,-0.626374964451776,"More than 20","$1,000,000-$2,999,999",0
150,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Agree","Agree","Agree","Neither disagree nor agree",32,"No","Yes","Female","$70,000-$79,000",2005,1,10,3,"0","0",0,"Employed part time","Yes","1980+",0.599955639846596,0.14368185638341,"Less than 15","$70,000-$79,000",1
151,"Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Dissatisfied","Somewhat dissatisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Agree","Strongly disagree","Agree",33,"Yes","Yes","Male","$150,000-$199,999",2004,0,2,2,"1","0",0,"Employed full time","Yes","1980+",-1.57349791620086,-0.80373117422076,"Less than 15","$150,000-$199,999",0
154,"Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Somewhat agree","Disagree",32,"No","No","Male","$200,000-$299,999",2004,0,10,0,"0","0",0,"Employed full time","No","1980+",0.25575394534121,0.155973332597026,"Less than 15","$200,000-$299,999",0
155,"Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Dissatisfied","Satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Disagree","Agree","Strongly agree","Somewhat disagree","Disagree",31,"Yes","Yes","Male","$120,000-$149,999",2005,0,3,3,"1","0",0,"Employed full time","Yes","1980+",-2.08237268995217,-0.222210577239178,"Less than 15","$120,000-$149,999",0
156,"Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Disagree",50,"No","Yes","Female","$500,000-$799,999",1986,0,17,17,"0","0",0,"Employed full time","Yes","1980+",0.353685263772192,-0.174112093098011,"15 to 20","$500,000-$799,999",0
157,"Satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Highly satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Strongly agree","Agree","Somewhat disagree",48,"No","No","Male","$150,000-$199,999",1988,2,1,0,"0","0",0,"Employed full time","No","1980+",-1.27335876854264,0.21157466558012,"Less than 15","$150,000-$199,999",0
158,"Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat disagree","Neither disagree nor agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither disagree nor agree","Disagree","Somewhat disagree",29,"No","Yes","Female","$100,000-$119,999",2007,0,7,7,"0","0",1,"Employed full time","Yes","1980+",-0.274198094078032,-1.15443040388714,"Less than 15","$100,000-$119,999",0
159,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",49,"Yes","Yes","Male","$1,000,000-$2,999,999",1987,3,24,1,"0","1",0,"Employed full time","Yes","1980+",0.771098611123697,0.887508197694408,"More than 20","$1,000,000-$2,999,999",0
160,"Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Agree","Strongly agree","Strongly agree","Neither disagree nor agree",58,"No","No","Male","$150,000-$199,999",1978,8,58,0,"0","0",0,"Employed full time","No",,0.287400907580322,0.186926874715269,"More than 20","$150,000-$199,999",0
161,"Satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Neither disagree nor agree",57,"No","Yes","Male","$1,000,000-$2,999,999",1979,2,34,12,"0","0",0,"Employed full time","Yes",,0.482563123360912,0.405093155079101,"More than 20","$1,000,000-$2,999,999",0
163,"Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat agree","Somewhat agree","Agree","Neither disagree nor agree","Somewhat agree","Somewhat agree","Agree","Agree","Neither disagree nor agree",41,"Yes","Yes","Female","$200,000-$299,999",1995,0,16,3,"0","1",0,"Employed full time","Yes","1980+",0.102202127784721,-0.501209566673734,"15 to 20","$200,000-$299,999",0
164,"Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Somewhat agree",26,"No","Yes","Female","$80,000-$89,000",2010,0,4,4,"0","0",1,"Employed full time","Yes","1980+",-0.0505776872228206,-1.37626472468509,"Less than 15","$80,000-$89,000",0
165,"Satisfied","Satisfied","Highly satisfied","Somewhat dissatisfied","Highly satisfied","Highly satisfied","Satisfied","Dissatisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Highly satisfied","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree",28,"No","No","Male","$300,000-$499,999",2008,0,6,0,"0","0",0,"Employed full time","No","1980+",0.22364967337086,0.750075052204031,"Less than 15","$300,000-$499,999",0
166,"Somewhat satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Agree","Agree","Neither disagree nor agree","Somewhat agree",24,"Yes","Yes","Male","$50,000-$59,000",2012,0,0,0,"1","0",1,"Employed full time","Yes","1980+",-0.181842770748742,-0.462612666954881,"Less than 15","$50,000-$59,000",0
168,"Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat disagree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Disagree","Somewhat agree","Neither disagree nor agree","Somewhat agree","Neither disagree nor agree",24,"Yes","Yes","Male","$50,000-$59,000",2012,0,1,1,"1","0",1,"Employed full time","Yes","1980+",-1.6377148217998,-1.81955153731918,"Less than 15","$50,000-$59,000",0
169,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Somewhat agree","Agree",55,"Yes","Yes","Male","$500,000-$799,999",1981,4,14,4,"1","0",0,"Employed full time","Yes","1980+",0.287996682898809,0.880373311620167,"Less than 15","$500,000-$799,999",0
170,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither disagree nor agree","Strongly agree","Agree","Neither disagree nor agree",62,"No","No","Male","$60,000-$69,000",1974,3,40,0,"0","0",0,"Employed full time","No",,1.20100475561395,1.00001269982613,"More than 20","$60,000-$69,000",0
171,"Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Highly satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Agree","Strongly disagree","Strongly agree",33,"No","No","Male","$150,000-$199,999",2009,0,9,0,"0","0",0,"Employed full time","No","1980+",-0.599055448869876,-1.52212023745782,"Less than 15","$150,000-$199,999",0
172,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Agree","Agree","Agree","Neither disagree nor agree","Agree","Strongly agree","Agree","Disagree",59,"No","Yes","Male","$300,000-$499,999",1977,3,36,4,"0","0",0,"Employed full time","Yes",,0.053597647589363,-0.0331275704914818,"More than 20","$300,000-$499,999",0
173,"Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",31,"Yes","Yes","Male","$60,000-$69,000",2008,0,4,3,"1","0",0,"Employed full time","Yes","1980+",-0.0874076426080653,0.264720625788211,"Less than 15","$60,000-$69,000",0
174,"Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Dissatisfied","Satisfied","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat disagree",25,"No","Yes","Female","$50,000-$59,000",2011,1,3,3,"0","0",0,"Employed full time","Yes","1980+",0.32135464060487,0.573503571189001,"Less than 15","$50,000-$59,000",0
175,"Satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree",37,"No","No","Male","$200,000-$299,999",2000,0,1,0,"0","0",0,"Employed full time","No","1980+",1.03192644839799,1.16109831714788,"Less than 15","$200,000-$299,999",0
176,"Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Agree","Strongly agree","Neither disagree nor agree","Somewhat agree",27,"Yes","Yes","Female","$60,000-$69,000",2010,0,3,3,"1","0",1,"Employed full time","Yes","1980+",-0.136682724951545,-0.12798924940549,"Less than 15","$60,000-$69,000",0
177,"Dissatisfied","Dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Highly dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat dissatisfied","Dissatisfied","Highly dissatisfied","Strongly disagree","Strongly disagree","Somewhat disagree","Disagree","Somewhat disagree","Agree","Strongly agree","Strongly agree","Strongly disagree",25,"Yes","Yes","Female","$50,000-$59,000",2011,0,2,2,"1","0",1,"Employed full time","Yes","1980+",-2.72943843640722,-3.12722937900486,"Less than 15","$50,000-$59,000",0
178,"Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Highly dissatisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Disagree","Agree","Agree","Somewhat agree","Strongly disagree","Strongly disagree","Agree","Agree","Agree",23,"No","Yes","Male","$50,000-$59,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",-2.12102718879172,-1.09653413420321,"Less than 15","$50,000-$59,000",0
179,"Dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Highly dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Dissatisfied","Dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neither dissatisfied nor satisfied","Dissatisfied","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Agree",54,"No","Yes","Male","Less than $50,000",1982,4,32,3,"0","0",0,"Employed full time","Yes","1980+",-2.97181399224499,-3.47553978140873,"More than 20","Less than $50,000",0
180,"Satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",34,"Yes","Yes","Female","$120,000-$149,999",2002,0,11,1,"1","0",0,"Employed full time","Yes","1980+",0.0295281974714192,-1.42873385313993,"Less than 15","$120,000-$149,999",0
181,"Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Agree","Agree","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",25,"Yes","Yes","Male","$90,000-$99,000",2011,0,1,1,"1","0",0,"Employed full time","Yes","1980+",0.487766537580535,0.297022693641175,"Less than 15","$90,000-$99,000",0
182,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither disagree nor agree","Somewhat disagree","Neither disagree nor agree","Agree","Somewhat disagree","Agree","Strongly agree","Agree","Disagree",67,"Yes","No","Male","$90,000-$99,000",1969,3,29,0,"1","0",0,"Employed full time","No",,0.210740551538677,-1.387876930071,"More than 20","$90,000-$99,000",0
184,"Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree",66,"Yes","No","Male","$100,000-$119,999",1970,2,43,0,"1","0",0,"Employed full time","No",,1.0758338863031,1.13362379793835,"More than 20","$100,000-$119,999",0
185,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Agree","Agree","Disagree","Disagree",55,"No","No","Male","$300,000-$499,999",1982,0,32,0,"0","0",0,"Employed full time","No","1980+",-0.0737470347354634,-0.793834398239458,"More than 20","$300,000-$499,999",0
186,"Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree",37,"Yes","Yes","Female","$50,000-$59,000",1999,3,10,1,"1","0",0,"Employed part time","Yes","1980+",0.432818566537537,1.08687409205953,"Less than 15","$50,000-$59,000",1
187,"Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",60,"No","No","Male","$100,000-$119,999",1976,3,4,0,"0","0",0,"Employed full time","No",,0.896498548411849,0.649791355687835,"Less than 15","$100,000-$119,999",0
188,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",36,"Yes","Yes","Male","$100,000-$119,999",2000,2,12,2,"1","0",0,"Employed full time","Yes","1980+",0.78389405310194,0.264720625788211,"Less than 15","$100,000-$119,999",0
189,"Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Agree","Somewhat disagree","Neither disagree nor agree",54,"No","No","Male","$500,000-$799,999",1982,0,31,0,"0","0",0,"Employed full time","No","1980+",1.1178727136181,0.754506993571935,"More than 20","$500,000-$799,999",0
190,"Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Strongly agree","Somewhat agree","Agree","Agree","Agree","Agree",58,"No","Yes","Male","$300,000-$499,999",1977,2,37,6,"0","0",0,"Employed full time","Yes",,0.417851876107527,0.346729932188946,"More than 20","$300,000-$499,999",0
191,"Highly satisfied","Highly satisfied","Highly dissatisfied","Somewhat dissatisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Neither disagree nor agree","Somewhat disagree",60,"Yes","No","Male","$60,000-$69,000",1976,2,36,0,"1","0",0,"Employed full time","No",,0.384972434448778,0.738645991373733,"More than 20","$60,000-$69,000",0
192,"Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree",56,"No","Yes","Male","$150,000-$199,999",1981,2,11,2,"0","0",0,"Employed full time","Yes","1980+",0.50316775243844,1.08546072788718,"Less than 15","$150,000-$199,999",0
194,"Highly satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat disagree","Agree","Strongly agree","Agree","Somewhat agree",40,"No","Yes","Female","$300,000-$499,999",1996,0,17,3,"0","0",0,"Employed part time","Yes","1980+",-0.0612764279833467,-0.17439407304084,"15 to 20","$300,000-$499,999",1
195,"Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",32,"Yes","Yes","Male","$120,000-$149,999",2005,1,8,6,"1","0",0,"Employed full time","Yes","1980+",0.421660954294066,0.34518576369234,"Less than 15","$120,000-$149,999",0
196,"Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat disagree",36,"Yes","Yes","Male","$200,000-$299,999",2001,1,9,9,"1","0",0,"Employed full time","Yes","1980+",1.07847504039407,1.08822261779425,"Less than 15","$200,000-$299,999",0
197,"Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Somewhat agree",30,"No","Yes","Female","$80,000-$89,000",2006,0,6,2,"0","0",0,"Employed full time","Yes","1980+",-0.976567735583652,1.06335881287321,"Less than 15","$80,000-$89,000",0
